POwsd256_1:1	okay	RE(RE)	okay
POwsd256_84:16	organizations	NNS(NNS)	organization
POwsd256_84:17	er	UH(UH)	er
POwsd256_84:18	will	MD(MD)	will
POwsd256_84:19	have	VH(VH)	have
POwsd256_84:20	a	DT(DT)	a
POwsd256_84:21	a	DT(DT)	a
POwsd256_84:22	leading	JJ(JJ)	leading
POwsd256_84:23	role	NN(NN)	role
POwsd256_84:24	_0	PA(PA)	
POwsd256_84:25	maybe	RB(RB)	maybe
POwsd256_84:26	to	TO(TO)	to
POwsd256_84:27	er	UH(UH)	er
POwsd256_84:28	er	UH(UH)	er
POwsd256_84:29	coordinate	VV(VV)	coordinate
POwsd256_84:30	erm	UH(UH)	erm
POwsd256_84:31	_0	PA(PA)	

POwsd256_85:1	mhm	RE(RE)	mhm

POwsd256_86:1	such	DT(DT)	such
POwsd256_86:2	policies	NNS(NNS)	policy
POwsd256_86:3	at	IN(IN)	at
POwsd256_86:4	municipal	JJ(JJ)	municipal
POwsd256_86:5	levels	NNS(NNS)	level
POwsd256_86:6	or	CC(CC)	or

POwsd256_87:1	okay	RE(RE)	okay
POwsd256_87:2	so	DM(DM)	so
POwsd256_87:3	maybe	RB(RB)	maybe
POwsd256_87:4	th-	XX(XX)	
POwsd256_87:5	the	DT(DT)	the
POwsd256_87:6	question	NN(NN)	question
POwsd256_87:7	then	RB(RB)	then
POwsd256_87:8	would	MD(MD)	will
POwsd256_87:9	be	VB(VB)	be
POwsd256_87:10	how	WRB(WRB)	how
POwsd256_87:11	to	TO(TO)	to
POwsd256_87:12	how	WRB(WRB)	how
POwsd256_87:13	to	TO(TO)	to
POwsd256_87:14	coordinate	VV(VV)	coordinate
POwsd256_87:15	_0	PA(PA)	
POwsd256_87:16	the	DT(DT)	the
POwsd256_87:17	follow-up	NN(NN)	follow-up
POwsd256_87:18	of	IN(IN)	of
POwsd256_87:19	the	DT(DT)	the
POwsd256_87:20	youth	NN(NN)	youth
POwsd256_87:21	pact	NN(NN)	pact
POwsd256_87:22	across	IN(IN)	across
POwsd256_87:23	the	DT(DT)	the
POwsd256_87:24	different	JJ(JJ)	different

POwsd256_88:1	yeah	RE(RE)	yeah
POwsd256_88:2	but	CC(CC)	but

POwsd256_89:1	yeah	RE(RE)	yeah

POwsd256_90:1	er	UH(UH)	er
POwsd256_90:2	_0	PA(PA)	
POwsd256_90:3	levels	NNS(NNS)	level
POwsd256_90:4	_0	PA(PA)	
POwsd256_90:5	geographically	RB(RB)	geographically
POwsd256_90:6	then	RB(RB)	then

POwsd256_91:1	in	IN(IN)	in
POwsd256_91:2	order	IN(IN)	order
POwsd256_91:3	that	IN(IN)	that
POwsd256_91:4	to	TO(TO)	to
POwsd256_91:5	be	VB(VB)	be
POwsd256_91:6	coordinated	VVN(VVN)	coordinate

POwsd256_92:1	and	CC(CC)	and

POwsd256_93:1	across	IN(IN)	across
POwsd256_93:2	the	DT(DT)	the
POwsd256_93:3	different	JJ(JJ)	different
POwsd256_93:4	actors	NNS(NNS)	actor
POwsd256_93:5	who	PRE(PRE)	who
POwsd256_93:6	are	VBP(VBP)	be
POwsd256_93:7	involved	VVN(VVN)	involve
POwsd256_93:8	_1	PA(PA)	
POwsd256_93:9	okay	RE(RE)	okay
POwsd256_93:10	then	RB(RB)	then
POwsd256_93:11	we	PP(PP)	we
POwsd256_93:12	can	MD(MD)	can
POwsd256_93:13	_13	PA(PA)	
POwsd256_93:14	anything	NN(NN)	anything
POwsd256_93:15	else	RB(RB)	else
POwsd256_93:16	_0	PA(PA)	

POwsd256_94:1	i	PP(PP)	i
POwsd256_94:2	just	RB(RB)	just
POwsd256_94:3	have	VHP(VHP)	have
POwsd256_94:4	a	DT(DT)	a
POwsd256_94:5	a	DT(DT)	a
POwsd256_94:6	thought	NN(NN)	thought
POwsd256_94:7	on	IN(IN)	on
POwsd256_94:8	on	IN(IN)	on
POwsd256_94:9	the	DT(DT)	the
POwsd256_94:10	first	JJ(JJ)	first
POwsd256_94:11	point	NN(NN)	point
POwsd256_94:12	_0	PA(PA)	
POwsd256_94:13	erm	UH(UH)	erm
POwsd256_94:14	i	PP(DM)	i
POwsd256_94:15	mean	VVP(DM)	mean
POwsd256_94:16	it	PP(PP)	it
POwsd256_94:17	's	VBS(VBS)	be
POwsd256_94:18	just	RB(RB)	just
POwsd256_94:19	a	DT(DT)	a
POwsd256_94:20	thought	VVD(VVD)	think
POwsd256_94:21	i	PP(PP)	i
POwsd256_94:22	i	PP(PP)	i
POwsd256_94:23	see	VVP(VVP)	see
POwsd256_94:24	a	DT(DT)	a
POwsd256_94:25	little	JJ(JJ)	little
POwsd256_94:26	bit	NN(NN)	bit
POwsd256_94:27	danger	NN(NN)	danger
POwsd256_94:28	if	IN(IN)	if
POwsd256_94:29	if	IN(IN)	if
POwsd256_94:30	you	PP(PP)	you
POwsd256_94:31	erm	UH(UH)	erm
POwsd256_94:32	_0	PA(PA)	

POwsd256_95:1	mhm	RE(RE)	mhm

POwsd256_96:1	go	VVP(VVP)	go
POwsd256_96:2	and	CC(CC)	and
POwsd256_96:3	tell	VVP(VVP)	tell
POwsd256_96:4	such	PDT(PDT)	such
POwsd256_96:5	a	DT(DT)	a
POwsd256_96:6	thing	NN(NN)	thing
POwsd256_96:7	er	UH(UH)	er
POwsd256_96:8	to	IN(IN)	to
POwsd256_96:9	certain	JJ(JJ)	certain
POwsd256_96:10	er	UH(UH)	er
POwsd256_96:11	policy	NN(NN)	policy
POwsd256_96:12	makers	NNS(NNS)	maker
POwsd256_96:13	_0	PA(PA)	
POwsd256_96:14	they	PP(PP)	they
POwsd256_96:15	will	MD(MD)	will
POwsd256_96:16	immediately	RB(RB)	immediately
POwsd256_96:17	erm	UH(UH)	erm
POwsd256_96:18	use	VV(VV)	use
POwsd256_96:19	it	PP(PP)	it
POwsd256_96:20	er	UH(UH)	er
POwsd256_96:21	to	TO(TO)	to
POwsd256_96:22	go	VV(VV)	go
POwsd256_96:23	even	RB(RB)	even
POwsd256_96:24	more	JJR(JJR)	more
POwsd256_96:25	in	IN(IN)	in
POwsd256_96:26	the	DT(DT)	the
POwsd256_96:27	direction	NN(NN)	direction
POwsd256_96:28	p_employability	PVC(NN)	
POwsd256_96:29	and	CC(CC)	and
POwsd256_96:30	only	RB(RB)	only
POwsd256_96:31	produce	VV(VV)	produce
POwsd256_96:32	_0	PA(PA)	
POwsd256_96:33	erm	UH(UH)	erm
POwsd256_96:34	or	CC(CC)	or
POwsd256_96:35	educate	VV(VV)	educate
POwsd256_96:36	people	NNS(NNS)	people
POwsd256_96:37	for	IN(IN)	for
POwsd256_96:38	_0	PA(PA)	
POwsd256_96:39	for	IN(IN)	for
POwsd256_96:40	the	DT(DT)	the
POwsd256_96:41	the	DT(DT)	the
POwsd256_96:42	labor	NN(NN)	labor
POwsd256_96:43	market	NN(NN)	market
POwsd256_96:44	_0	PA(PA)	
POwsd256_96:45	and	CC(CC)	and
POwsd256_96:46	i	PP(PP)	i
POwsd256_96:47	think	VVP(VVP)	think
POwsd256_96:48	that	DT(DT)	that
POwsd256_96:49	's	VBS(VBS)	be

POwsd256_97:1	hm	RE(RE)	hm

POwsd256_98:1	hh	BR(BR)	
POwsd256_98:2	something	NN(NN)	something
POwsd256_98:3	we	PP(PP)	we
POwsd256_98:4	do	VVP(VVP)	do
POwsd256_98:5	n't	RB(RB)	not
POwsd256_98:6	_0	PA(PA)	
POwsd256_98:7	want	VV(VV)	want
POwsd256_98:8	i	PP(PP)	i
POwsd256_98:9	think	VVP(VVP)	think

POwsd256_99:1	mhm	RE(RE)	mhm

POwsd256_100:1	in	IN(IN)	in
POwsd256_100:2	the	DT(DT)	the
POwsd256_100:3	end	NN(NN)	end

POwsd256_101:1	hm	RE(RE)	hm

POwsd256_102:1	there	EX(EX)	there
POwsd256_102:2	should	MD(MD)	shall
POwsd256_102:3	also	RB(RB)	also
POwsd256_102:4	be	VB(VB)	be
POwsd256_102:5	education	NN(NN)	education
POwsd256_102:6	for	IN(IN)	for
POwsd256_102:7	education	NN(NN)	education
POwsd256_102:8	's	POS(POS)	's
POwsd256_102:9	sake	NN(NN)	sake
POwsd256_102:10	and	CC(CC)	and
POwsd256_102:11	not	RB(RB)	not
POwsd256_102:12	only	RB(RB)	only
POwsd256_102:13	education	NN(NN)	education
POwsd256_102:14	for	IN(IN)	for
POwsd256_102:15	_0	PA(PA)	

POwsd256_103:1	mhm	RE(RE)	mhm

POwsd256_104:1	p_employability	PVC(NN)	
POwsd256_104:2	erm	UH(UH)	erm
POwsd256_104:3	i	PP(PP)	i
POwsd256_104:4	know	VVP(VVP)	know
POwsd256_104:5	that	IN(IN)	that
POwsd256_104:6	you	PP(PP)	you
POwsd256_104:7	do	VVP(VVP)	do
POwsd256_104:8	n't	RB(RB)	not
POwsd256_104:9	mean	VV(VV)	mean
POwsd256_104:10	it	PP(PP)	it
POwsd256_104:11	_0	PA(PA)	

POwsd256_105:1	hm	RE(RE)	hm

POwsd256_106:1	but	CC(CC)	but
POwsd256_106:2	i	PP(PP)	i
POwsd256_106:3	i	PP(PP)	i
POwsd256_106:4	think	VVP(VVP)	think
POwsd256_106:5	if	IN(IN)	if
POwsd256_106:6	a	DT(DT)	a
POwsd256_106:7	_0	PA(PA)	
POwsd256_106:8	if	IN(IN)	if
POwsd256_106:9	if	IN(IN)	if
POwsd256_106:10	certain	JJ(JJ)	certain
POwsd256_106:11	politicians	NNS(NNS)	politician
POwsd256_106:12	er	UH(UH)	er
POwsd256_106:13	see	VVP(VVP)	see
POwsd256_106:14	such	PDT(PDT)	such
POwsd256_106:15	a	DT(DT)	a
POwsd256_106:16	suggestion	NN(NN)	suggestion
POwsd256_106:17	from	IN(IN)	from
POwsd256_106:18	from	IN(IN)	from
POwsd256_106:19	young	JJ(JJ)	young
POwsd256_106:20	people	NNS(NNS)	people

POwsd256_107:1	hm	RE(RE)	hm

POwsd256_108:1	yeah	RE(RE)	yeah
POwsd256_108:2	but	CC(CC)	but
POwsd256_108:3	you	PP(DM)	you
POwsd256_108:4	know	VVP(DM)	know
POwsd256_108:5	it	PP(PP)	it
POwsd256_108:6	's	VBS(VBS)	be
POwsd256_108:7	er	UH(UH)	er
POwsd256_108:8	the	DT(DT)	the

POwsd256_109:1	x	UNI(UNI)	

POwsd256_110:1	mhm	RE(RE)	mhm

POwsd256_111:1	they	PP(PP)	they
POwsd256_111:2	will	MD(MD)	will
POwsd256_111:3	immediately	RB(RB)	immediately
POwsd256_111:4	erm	UH(UH)	erm
POwsd256_111:5	_0	PA(PA)	
POwsd256_111:6	and	CC(CC)	and
POwsd256_111:7	i	PP(PP)	i
POwsd256_111:8	think	VVP(VVP)	think
POwsd256_111:9	there	EX(EX)	there
POwsd256_111:10	should	MD(MD)	shall
POwsd256_111:11	be	VB(VB)	be
POwsd256_111:12	a	DT(DT)	a
POwsd256_111:13	certain	JJ(JJ)	certain
POwsd256_111:14	er	UH(UH)	er
POwsd256_111:15	time	NN(NN)	time
POwsd256_111:16	in	IN(IN)	in
POwsd256_111:17	in	IN(IN)	in
POwsd256_111:18	_0	PA(PA)	
POwsd256_111:19	er	UH(UH)	er
POwsd256_111:20	education	NN(NN)	education
POwsd256_111:21	_0	PA(PA)	
POwsd256_111:22	where	WRB(WRB)	where
POwsd256_111:23	_0	PA(PA)	
POwsd256_111:24	we	PP(PP)	we
POwsd256_111:25	er	UH(UH)	er
POwsd256_111:26	_0	PA(PA)	
POwsd256_111:27	get	VVP(VVP)	get
POwsd256_111:28	only	RB(RB)	only
POwsd256_111:29	education	NN(NN)	education
POwsd256_111:30	for	IN(IN)	for
POwsd256_111:31	education	NN(NN)	education
POwsd256_111:32	's	POS(POS)	's
POwsd256_111:33	sake	NN(NN)	sake
POwsd256_111:34	and	CC(CC)	and
POwsd256_111:35	_0	PA(PA)	

POwsd256_112:1	mhm	RE(RE)	mhm

POwsd256_113:1	mhm	RE(RE)	mhm

POwsd256_114:1	yeah	RE(RE)	yeah
POwsd256_114:2	but	CC(CC)	but
POwsd256_114:3	we	PP(PP)	we
POwsd256_114:4	x	UNI(UNI)	
POwsd256_114:5	_0	PA(PA)	
POwsd256_114:6	mhm	RE(RE)	mhm

POwsd256_115:1	not	RB(RB)	not
POwsd256_115:2	not	RB(RB)	not
POwsd256_115:3	al-	XX(XX)	
POwsd256_115:4	always	RB(RB)	always
POwsd256_115:5	a-	XX(XX)	
POwsd256_115:6	a-	XX(XX)	
POwsd256_115:7	already	RB(RB)	already
POwsd256_115:8	with	IN(IN)	with
POwsd256_115:9	the	DT(DT)	the
POwsd256_115:10	view	NN(NN)	view
POwsd256_115:11	on	IN(IN)	on
POwsd256_115:12	erm	UH(UH)	erm
POwsd256_115:13	how	WRB(WRB)	how
POwsd256_115:14	can	MD(MD)	can
POwsd256_115:15	we	PP(PP)	we
POwsd256_115:16	_0	PA(PA)	
POwsd256_115:17	put	VV(VV)	put
POwsd256_115:18	you	PP(PP)	you
POwsd256_115:19	on	IN(IN)	on
POwsd256_115:20	the	DT(DT)	the
POwsd256_115:21	labor	NN(NN)	labor
POwsd256_115:22	market	NN(NN)	market

POwsd256_116:1	yeah	RE(RE)	yeah
POwsd256_116:2	but	CC(CC)	but
POwsd256_116:3	_0	PA(PA)	
POwsd256_116:4	you	PP(DM)	you
POwsd256_116:5	know	VVP(DM)	know
POwsd256_116:6	the-	XX(XX)	
POwsd256_116:7	these	DT(DT)	these
POwsd256_116:8	are	VBP(VBP)	be
POwsd256_116:9	particular	JJ(JJ)	particular
POwsd256_116:10	_0	PA(PA)	

POwsd256_117:1	hm	RE(RE)	hm

POwsd256_118:1	er	UH(UH)	er
POwsd256_118:2	particular	JJ(JJ)	particular
POwsd256_118:3	solus-	XX(XX)	
POwsd256_118:4	solutions	NNS(NNS)	solution
POwsd256_118:5	_0	PA(PA)	
POwsd256_118:6	and	CC(CC)	and
POwsd256_118:7	of	RB(RB)	of
POwsd256_118:8	course	RB(RB)	course
POwsd256_118:9	it	PP(PP)	it
POwsd256_118:10	could	MD(MD)	can
POwsd256_118:11	be	VB(VB)	be
POwsd256_118:12	xxx	UNI(UNI)	
POwsd256_118:13	_0	PA(PA)	

POwsd256_119:1	yeah	RE(RE)	yeah

POwsd256_120:1	because	IN(IN)	because
POwsd256_120:2	there	EX(EX)	there
POwsd256_120:3	are	VBP(VBP)	be
POwsd256_120:4	_0	PA(PA)	
POwsd256_120:5	er	UH(UH)	er
POwsd256_120:6	at	IN(IN)	at
POwsd256_120:7	the	DT(DT)	the
POwsd256_120:8	graphic	NN(NN)	graphic
POwsd256_120:9	@	LA(LA)	
POwsd256_120:10	so	DM(DM)	so

POwsd256_121:1	@@@	LA(LA)	

POwsd256_122:1	x	UNI(UNI)	
POwsd256_122:2	_0	PA(PA)	
POwsd256_122:3	di-	XX(XX)	
POwsd256_122:4	different	JJ(JJ)	different
POwsd256_122:5	er	UH(UH)	er
POwsd256_122:6	_0	PA(PA)	
POwsd256_122:7	er	UH(UH)	er
POwsd256_122:8	directions	NNS(NNS)	direction
POwsd256_122:9	like	IN(IN)	like
POwsd256_122:10	_0	PA(PA)	
POwsd256_122:11	erm	UH(UH)	erm
POwsd256_122:12	_0	PA(PA)	
POwsd256_122:13	ability	NN(NN)	ability
POwsd256_122:14	to	TO(TO)	to
POwsd256_122:15	move	VV(VV)	move
POwsd256_122:16	on	IN(IN)	on
POwsd256_122:17	labor	NN(NN)	labor
POwsd256_122:18	market	NN(NN)	market

POwsd256_123:1	hm	RE(RE)	hm

POwsd256_124:1	which	PRE(PRE)	which
POwsd256_124:2	is	VBZ(VBZ)	be
POwsd256_124:3	_0	PA(PA)	
POwsd256_124:4	really	RB(RB)	really
POwsd256_124:5	important	JJ(JJ)	important

POwsd256_125:1	yeah	RE(RE)	yeah

POwsd256_126:1	what	WP(WP)	what
POwsd256_126:2	you	PP(PP)	you
POwsd256_126:3	say	VVP(VVP)	say

POwsd256_127:1	yeah	RE(RE)	yeah

POwsd256_128:1	about	IN(IN)	about
POwsd256_128:2	educational	JJ(JJ)	educational
POwsd256_128:3	_0	PA(PA)	
POwsd256_128:4	er	UH(UH)	er
POwsd256_128:5	_0	PA(PA)	
POwsd256_128:6	needs	NNS(NNS)	need

POwsd256_129:1	hm	RE(RE)	hm

POwsd256_130:1	and	CC(CC)	and
POwsd256_130:2	er	UH(UH)	er
POwsd256_130:3	and	CC(CC)	and
POwsd256_130:4	realizing	VVG(VVG)	realize
POwsd256_130:5	them	PP(PP)	they
POwsd256_130:6	_0	PA(PA)	
POwsd256_130:7	er	UH(UH)	er
POwsd256_130:8	is	VBZ(VBZ)	be
POwsd256_130:9	also	RB(RB)	also
POwsd256_130:10	important	JJ(JJ)	important

POwsd256_131:1	mhm	RE(RE)	mhm
POwsd256_131:2	yeah	RE(RE)	yeah
POwsd256_131:3	_0	PA(PA)	

POwsd256_132:1	yeah	RE(RE)	yeah
POwsd256_132:2	but	CC(CC)	but
POwsd256_132:3	i	PP(PP)	i
POwsd256_132:4	would	MD(MD)	will
POwsd256_132:5	n't	RB(RB)	not
POwsd256_132:6	er	UH(UH)	er

POwsd256_133:1	hm	RE(RE)	hm

POwsd256_134:1	delete	VV(VV)	delete
POwsd256_134:2	it	PP(PP)	it

POwsd256_135:1	no	RE(RE)	no
POwsd256_135:2	no	RE(RE)	no
POwsd256_135:3	_0	PA(PA)	

POwsd256_136:1	hm	RE(RE)	hm

POwsd256_137:1	i	PP(PP)	i
POwsd256_137:2	i	PP(PP)	i
POwsd256_137:3	think	VVP(VVP)	think
POwsd256_137:4	i	PP(PP)	i
POwsd256_137:5	only	RB(RB)	only
POwsd256_137:6	i	PP(PP)	i
POwsd256_137:7	i	PP(DM)	i
POwsd256_137:8	mean	VVP(DM)	mean
POwsd256_137:9	mainly	RB(RB)	mainly
POwsd256_137:10	i	PP(PP)	i
POwsd256_137:11	wanted	VVD(VVD)	want
POwsd256_137:12	to	TO(TO)	to
POwsd256_137:13	mention	VV(VV)	mention
POwsd256_137:14	it	PP(PP)	it
POwsd256_137:15	for	IN(IN)	for
POwsd256_137:16	the	DT(DT)	the
POwsd256_137:17	_0	PA(PA)	

POwsd256_138:1	mhm	RE(RE)	mhm

POwsd256_139:1	how	WRB(WRB)	how
POwsd256_139:2	is	VBZ(VBZ)	be
POwsd256_139:3	it	PP(PP)	it
POwsd256_139:4	formulated	VVN(VVN)	formulate
POwsd256_139:5	in	IN(IN)	in
POwsd256_139:6	the	DT(DT)	the
POwsd256_139:7	in	IN(IN)	in
POwsd256_139:8	the	DT(DT)	the
POwsd256_139:9	resolution	NN(NN)	resolution

POwsd256_140:1	mhm	RE(RE)	mhm

POwsd256_141:1	yeah	RE(RE)	yeah

POwsd256_142:1	thought	VVD(VVD)	think
POwsd256_142:2	_0	PA(PA)	

POwsd256_143:1	good	JJ(JJ)	good
POwsd256_143:2	i	PP(PP)	i
POwsd256_143:3	think	VVP(VVP)	think
POwsd256_143:4	this	DT(DT)	this
POwsd256_143:5	is	VBZ(VBZ)	be
POwsd256_143:6	an	DT(DT)	a
POwsd256_143:7	important	JJ(JJ)	important
POwsd256_143:8	point	NN(NN)	point
POwsd256_143:9	that	IN(IN)	that
POwsd256_143:10	we	PP(PP)	we
POwsd256_143:11	can	MD(MD)	can
POwsd256_143:12	erm	UH(UH)	erm
POwsd256_143:13	_0	PA(PA)	
POwsd256_143:14	er	UH(UH)	er
POwsd256_143:15	when	WRB(WRB)	when
POwsd256_143:16	we	PP(PP)	we
POwsd256_143:17	_0	PA(PA)	
POwsd256_143:18	good	JJ(JJ)	good
POwsd256_143:19	i	PP(PP)	i
POwsd256_143:20	'm	VBP(VBP)	be
POwsd256_143:21	i	PP(PP)	i
POwsd256_143:22	will	MD(MD)	will
POwsd256_143:23	again	RB(RB)	again
POwsd256_143:24	to	TO(TO)	to
POwsd256_143:25	split	VV(VV)	split
POwsd256_143:26	you	PP(PP)	you
POwsd256_143:27	up	RP(RP)	up
POwsd256_143:28	in	IN(IN)	in
POwsd256_143:29	_0	PA(PA)	
POwsd256_143:30	not	RB(RB)	not
POwsd256_143:31	in	IN(IN)	in
POwsd256_143:32	three	CD(CD)	three
POwsd256_143:33	groups	NNS(NNS)	group
POwsd256_143:34	this	DT(DT)	this
POwsd256_143:35	time	NN(NN)	time
POwsd256_143:36	but	CC(CC)	but
POwsd256_143:37	only	RB(RB)	only
POwsd256_143:38	_0	PA(PA)	
POwsd256_143:39	in	IN(IN)	in
POwsd256_143:40	two	CD(CD)	two
POwsd256_143:41	_0	PA(PA)	
POwsd256_143:42	er	UH(UH)	er
POwsd256_143:43	to	TO(TO)	to
POwsd256_143:44	discuss	VV(VV)	discuss
POwsd256_143:45	these	DT(DT)	these
POwsd256_143:46	questions	NNS(NNS)	question
POwsd256_143:47	_0	PA(PA)	
POwsd256_143:48	erm	UH(UH)	erm
POwsd256_143:49	_1	PA(PA)	
POwsd256_143:50	in	IN(IN)	in
POwsd256_143:51	the	DT(DT)	the
POwsd256_143:52	framework	NN(NN)	framework
POwsd256_143:53	of	IN(IN)	of
POwsd256_143:54	of	IN(IN)	of
POwsd256_143:55	again	RB(RB)	again
POwsd256_143:56	some	DT(DT)	some
POwsd256_143:57	_1	PA(PA)	
POwsd256_143:58	some	DT(DT)	some
POwsd256_143:59	other	JJ(JJ)	other
POwsd256_143:60	questions	NNS(NNS)	question
POwsd256_143:61	and	CC(CC)	and
POwsd256_143:62	how	WRB(WRB)	how
POwsd256_143:63	_0	PA(PA)	
POwsd256_143:64	i	PP(PP)	i
POwsd256_143:65	wo	MD(MD)	will
POwsd256_143:66	n't	RB(RB)	not
POwsd256_143:67	give	VV(VV)	give
POwsd256_143:68	you	PP(PP)	you
POwsd256_143:69	the	DT(DT)	the
POwsd256_143:70	same	JJ(JJ)	same
POwsd256_143:71	ones	NNS(NNS)	one
POwsd256_143:72	as	IN(IN)	as
POwsd256_143:73	yesterday	RB(RB)	yesterday
POwsd256_143:74	you	PP(PP)	you
POwsd256_143:75	might	MD(MD)	may
POwsd256_143:76	be	VB(VB)	be
POwsd256_143:77	a	RB(RB)	a
POwsd256_143:78	bit	RB(RB)	bit
POwsd256_143:79	tired	JJ(JJ)	tired
POwsd256_143:80	of	IN(IN)	of
POwsd256_143:81	those	DT(DT)	those

POwsd256_144:1	@@@@	LA(LA)	

POwsd256_145:1	erm	UH(UH)	erm
POwsd256_145:2	_0	PA(PA)	
POwsd256_145:3	and	CC(CC)	and
POwsd256_145:4	then	RB(RB)	then
POwsd256_145:5	we	PP(PP)	we
POwsd256_145:6	can	MD(MD)	can
POwsd256_145:7	er	UH(UH)	er
POwsd256_145:8	we	PP(PP)	we
POwsd256_145:9	can	MD(MD)	can
POwsd256_145:10	discuss	VV(VV)	discuss
POwsd256_145:11	this	DT(DT)	this
POwsd256_145:12	in	IN(IN)	in
POwsd256_145:13	more	JJR(JJR)	more
POwsd256_145:14	detail	NN(NN)	detail
POwsd256_145:15	and	CC(CC)	and
POwsd256_145:16	afterwards	RB(RB)	afterwards
POwsd256_145:17	we	PP(PP)	we
POwsd256_145:18	can	MD(MD)	can
POwsd256_145:19	_1	PA(PA)	
POwsd256_145:20	er	UH(UH)	er
POwsd256_145:21	bring	VV(VV)	bring
POwsd256_145:22	in	IN(IN)	in
POwsd256_145:23	back	RB(RB)	back
POwsd256_145:24	to	IN(IN)	to
POwsd256_145:25	the	DT(DT)	the
POwsd256_145:26	in	IN(IN)	in
POwsd256_145:27	in	IN(IN)	in
POwsd256_145:28	the	DT(DT)	the
POwsd256_145:29	group	NN(NN)	group
POwsd256_145:30	and	CC(CC)	and
POwsd256_145:31	_0	PA(PA)	
POwsd256_145:32	have	VH(VH)	have
POwsd256_145:33	a	DT(DT)	a
POwsd256_145:34	discussion	NN(NN)	discussion
POwsd256_145:35	at	IN(IN)	at
POwsd256_145:36	the	DT(DT)	the
POwsd256_145:37	end	NN(NN)	end
POwsd256_145:38	before	IN(IN)	before
POwsd256_145:39	we	PP(PP)	we
POwsd256_145:40	can	MD(MD)	can
POwsd256_145:41	_0	PA(PA)	
POwsd256_145:42	before	IN(IN)	before
POwsd256_145:43	you	PP(PP)	you
POwsd256_145:44	wrap	VVP(VVP)	wrap
POwsd256_145:45	up	RP(RP)	up
POwsd256_145:46	_0	PA(PA)	
POwsd256_145:47	and	CC(CC)	and
POwsd256_145:48	er	UH(UH)	er
POwsd256_145:49	_0	PA(PA)	
POwsd256_145:50	give	VVP(VVP)	give
POwsd256_145:51	er	UH(UH)	er
POwsd256_145:52	_1	PA(PA)	
POwsd256_145:53	the	DT(DT)	the
POwsd256_145:54	mandate	NN(NN)	mandate
POwsd256_145:55	and	CC(CC)	and
POwsd256_145:56	the	DT(DT)	the
POwsd256_145:57	mission	NN(NN)	mission
POwsd256_145:58	to	IN(IN)/TO(TO)	to
POwsd256_145:59	er	UH(UH)	er

POwsd256_146:1	@@	LA(LA)	
POwsd256_146:2	_1	PA(PA)	

POwsd256_147:1	to	IN(IN)	to
POwsd256_147:2	the	DT(DT)	the
POwsd256_147:3	rapporteur	NN(NN)	rapporteur
POwsd256_147:4	to	TO(TO)	to
POwsd256_147:5	erm	UH(UH)	erm
POwsd256_147:6	_0	PA(PA)	
POwsd256_147:7	bring	VV(VV)	bring
POwsd256_147:8	it	PP(PP)	it
POwsd256_147:9	all	DT(DT)	all
POwsd256_147:10	into	IN(IN)	into
POwsd256_147:11	the	DT(DT)	the
POwsd256_147:12	er	UH(UH)	er
POwsd256_147:13	into	IN(IN)	into
POwsd256_147:14	the	DT(DT)	the
POwsd256_147:15	final	JJ(JJ)	final
POwsd256_147:16	declaration	NN(NN)	declaration
POwsd256_147:17	the	DT(DT)	the
POwsd256_147:18	final	JJ(JJ)	final
POwsd256_147:19	text	NN(NN)	text
POwsd256_147:20	_1	PA(PA)	
POwsd256_147:21	good	JJ(JJ)	good
POwsd256_147:22	_0	PA(PA)	
POwsd256_147:23	erm	UH(UH)	erm
POwsd256_147:24	_0	PA(PA)	
POwsd256_147:25	i	PP(PP)	i
POwsd256_147:26	will	MD(MD)	will
POwsd256_147:27	give	VV(VV)	give
POwsd256_147:28	you	PP(PP)	you
POwsd256_147:29	some	DT(DT)	some
POwsd256_147:30	questions	NNS(NNS)	question
POwsd256_147:31	i	PP(PP)	i
POwsd256_147:32	will	MD(MD)	will
POwsd256_147:33	write	VV(VV)	write
POwsd256_147:34	them	PP(PP)	they
POwsd256_147:35	down	RP(RP)	down
POwsd256_147:36	and	CC(CC)	and
POwsd256_147:37	i	PP(PP)	i
POwsd256_147:38	'll	MD(MD)	will
POwsd256_147:39	erm	UH(UH)	erm
POwsd256_147:40	_0	PA(PA)	
POwsd256_147:41	er	UH(UH)	er
POwsd256_147:42	er	UH(UH)	er
POwsd256_147:43	_0	PA(PA)	
POwsd256_147:44	not	RB(RB)	not
POwsd256_147:45	to	TO(TO)	to
POwsd256_147:46	lose	VV(VV)	lose
POwsd256_147:47	too	RB(RB)	too
POwsd256_147:48	much	JJ(JJ)	much
POwsd256_147:49	time	NN(NN)	time
POwsd256_147:50	already	RB(RB)	already
POwsd256_147:51	_0	PA(PA)	
POwsd256_147:52	read	VV(VV)	read
POwsd256_147:53	them	PP(PP)	they
POwsd256_147:54	out	RP(RP)	out
POwsd256_147:55	to	IN(IN)	to
POwsd256_147:56	you	PP(PP)	you
POwsd256_147:57	so	IN(IN)	so
POwsd256_147:58	you	PP(PP)	you
POwsd256_147:59	can	MD(MD)	can
POwsd256_147:60	start	VV(VV)	start
POwsd256_147:61	_0	PA(PA)	
POwsd256_147:62	discussing	VVG(VVG)	discuss
