PBpan25_1:1	good	FI(FI)	good
PBpan25_18:284	are	VBP(VBP)	be
PBpan25_18:285	collected	VVN(VVN)	collect
PBpan25_18:286	the	DT(DT)	the
PBpan25_18:287	the	DT(DT)	the
PBpan25_18:288	joining	VVG(NN)	join/joining
PBpan25_18:289	to	IN(IN)	to
PBpan25_18:290	the	DT(DT)	the
PBpan25_18:291	s_mu	NP(NP)	s_mu
PBpan25_18:292	is	VBZ(VBZ)	be
PBpan25_18:293	already	RB(RB)	already
PBpan25_18:294	prized	VVN(VVN)	prize
PBpan25_18:295	into	IN(IN)	into
PBpan25_18:296	that	DT(DT)	that
PBpan25_18:297	_0	PA(PA)	
PBpan25_18:298	and	CC(CC)	and
PBpan25_18:299	if	IN(IN)	if
PBpan25_18:300	there	EX(EX)	there
PBpan25_18:301	's	VBS(VBS)	be
PBpan25_18:302	some	DT(DT)	some
PBpan25_18:303	of	IN(IN)	of
PBpan25_18:304	these	DT(DT)	these
PBpan25_18:305	countries	NNS(NNS)	country
PBpan25_18:306	would	MD(MD)	will
PBpan25_18:307	would	MD(MD)	will
PBpan25_18:308	for	IN(IN)	for
PBpan25_18:309	some	DT(DT)	some
PBpan25_18:310	reason	NN(NN)	reason
PBpan25_18:311	would	MD(MD)	will
PBpan25_18:312	not	RB(RB)	not
PBpan25_18:313	be	VB(VB)	be
PBpan25_18:314	able	JJ(JJ)	able
PBpan25_18:315	to	TO(TO)	to
PBpan25_18:316	join	VV(VV)	join
PBpan25_18:317	in	IN(IN)	in
PBpan25_18:318	er	UH(UH)	er
PBpan25_18:319	_0	PA(PA)	
PBpan25_18:320	the	DT(DT)	the
PBpan25_18:321	european	NP(NP)	european
PBpan25_18:322	union	NP(NP)	union
PBpan25_18:323	the	DT(DT)	the
PBpan25_18:324	monetary	NN(NN)	monetary
PBpan25_18:325	union	NN(NN)	union
PBpan25_18:326	in	IN(IN)	in
PBpan25_18:327	the	DT(DT)	the
PBpan25_18:328	dates	NNS(NNS)	date
PBpan25_18:329	which	PRE(PRE)	which
PBpan25_18:330	have	VHP(VHP)	have
PBpan25_18:331	they	PP(PP)	they
PBpan25_18:332	have	VHP(VHP)	have
PBpan25_18:333	er	UH(UH)	er
PBpan25_18:334	erm	UH(UH)	erm
PBpan25_18:335	_1	PA(PA)	
PBpan25_18:336	set	VVN(VVN)	set
PBpan25_18:337	up	RP(RP)	up
PBpan25_18:338	i	PP(PP)	i
PBpan25_18:339	think	VVP(VVP)	think
PBpan25_18:340	there	EX(EX)	there
PBpan25_18:341	_0	PA(PA)	
PBpan25_18:342	will	MD(MD)	will
PBpan25_18:343	be	VB(VB)	be
PBpan25_18:344	some	DT(DT)	some
PBpan25_18:345	reflection	NN(NN)	reflection
PBpan25_18:346	in	IN(IN)	in
PBpan25_18:347	a	DT(DT)	a
PBpan25_18:348	way	NN(NN)	way
PBpan25_18:349	in	IN(IN)	in
PBpan25_18:350	in	IN(IN)	in
PBpan25_18:351	one	CD(CD)	one
PBpan25_18:352	way	NN(NN)	way
PBpan25_18:353	or	CC(CC)	or
PBpan25_18:354	another	DT(DT)	another
PBpan25_18:355	and	CC(CC)	and
PBpan25_18:356	i	PP(PP)	i
PBpan25_18:357	think	VVP(VVP)	think
PBpan25_18:358	comparison	NN(NN)	comparison
PBpan25_18:359	with	IN(IN)	with
PBpan25_18:360	er	UH(UH)	er
PBpan25_18:361	denmark	NP(NP)	denmark
PBpan25_18:362	which	PRE(PRE)	which
PBpan25_18:363	is	VBZ(VBZ)	be
PBpan25_18:364	_0	PA(PA)	
PBpan25_18:365	fifty	CD(CD)	fifty
PBpan25_18:366	year	NN(NN)	year
PBpan25_18:367	democracy	NN(NN)	democracy
PBpan25_18:368	fifty	CD(CD)	fifty
PBpan25_18:369	year	NN(NN)	year
PBpan25_18:370	market	NN(NN)	market
PBpan25_18:371	economy	NN(NN)	economy
PBpan25_18:372	and	CC(CC)	and
PBpan25_18:373	then	RB(RB)	then
PBpan25_18:374	s_er	XX(XX)	
PBpan25_18:375	er	UH(UH)	er
PBpan25_18:376	s_erm	NP(NP)	s_erm
PBpan25_18:377	two	CD(CD)	two
PBpan25_18:378	country	NN(NN)	country
PBpan25_18:379	_0	PA(PA)	
PBpan25_18:380	er	UH(UH)	er
PBpan25_18:381	i	PP(PP)	i
PBpan25_18:382	think	VVP(VVP)	think
PBpan25_18:383	er	UH(UH)	er
PBpan25_18:384	difficult	JJ(JJ)	difficult
PBpan25_18:385	to	TO(TO)	to
PBpan25_18:386	compare	VV(VV)	compare
PBpan25_18:387	with	IN(IN)	with
PBpan25_18:388	some	DT(DT)	some
PBpan25_18:389	of	IN(IN)	of
PBpan25_18:390	the	DT(DT)	the
PBpan25_18:391	other	JJ(JJ)	other
PBpan25_18:392	_0	PA(PA)	
PBpan25_18:393	country	NN(NN)	country
PBpan25_18:394	which	PRE(PRE)	which
PBpan25_18:395	are	VBP(VBP)	be
PBpan25_18:396	now	RB(RB)	now
PBpan25_18:397	erm	UH(UH)	erm
PBpan25_18:398	_0	PA(PA)	
PBpan25_18:399	striving	VVG(VVG)	strive
PBpan25_18:400	to	TO(TO)	to
PBpan25_18:401	be	VB(VB)	be
PBpan25_18:402	_0	PA(PA)	
PBpan25_18:403	er	UH(UH)	er
PBpan25_18:404	s_mu	NP(NP)	s_mu
PBpan25_18:405	members	NNS(NNS)	member
PBpan25_18:406	_0	PA(PA)	
PBpan25_18:407	so	DM(DM)	so
PBpan25_18:408	therefore	RB(RB)	therefore
PBpan25_18:409	i	PP(PP)	i
PBpan25_18:410	think	VVP(VVP)	think
PBpan25_18:411	_0	PA(PA)	
PBpan25_18:412	there	EX(EX)	there
PBpan25_18:413	is	VBZ(VBZ)	be
PBpan25_18:414	no	DT(DT)	no
PBpan25_18:415	other	JJ(JJ)	other
PBpan25_18:416	alternative	NN(NN)	alternative
PBpan25_18:417	_0	PA(PA)	
PBpan25_18:418	but	CC(CC)	but
PBpan25_18:419	to	TO(TO)	to
PBpan25_18:420	join	VV(VV)	join
PBpan25_18:421	_0	PA(PA)	
PBpan25_18:422	er	UH(UH)	er
PBpan25_18:423	s_mu	NP(NP)	s_mu
PBpan25_18:424	s_mu	NP(NP)	s_mu
PBpan25_18:425	sooner	RBR(RBR)	soon
PBpan25_18:426	than	IN(IN)	than
PBpan25_18:427	later	RBR(RBR)	late
PBpan25_18:428	_0	PA(PA)	
PBpan25_18:429	as	IN(IN)	as
PBpan25_18:430	coming	VVG(VVG)	come
PBpan25_18:431	back	RB(RB)	back
PBpan25_18:432	to	IN(IN)	to
PBpan25_18:433	the	DT(DT)	the
PBpan25_18:434	real	JJ(JJ)	real
PBpan25_18:435	versus	IN(IN)	versus
PBpan25_18:436	nominal	JJ(JJ)	nominal
PBpan25_18:437	convergence	NN(NN)	convergence
PBpan25_18:438	_0	PA(PA)	
PBpan25_18:439	i	PP(PP)	i
PBpan25_18:440	i	PP(PP)	i
PBpan25_18:441	think	VVP(VVP)	think
PBpan25_18:442	that	IN(IN)	that
PBpan25_18:443	for	IN(IN)	for
PBpan25_18:444	some	DT(DT)	some
PBpan25_18:445	of	IN(IN)	of
PBpan25_18:446	the	DT(DT)	the
PBpan25_18:447	countries	NNS(NNS)	country
PBpan25_18:448	_0	PA(PA)	
PBpan25_18:449	erm	UH(UH)	erm
PBpan25_18:450	_0	PA(PA)	
PBpan25_18:451	if	IN(IN)	if
PBpan25_18:452	we	PP(PP)	we
PBpan25_18:453	do	VVP(VVP)	do
PBpan25_18:454	know	VV(VV)	know
PBpan25_18:455	what	WP(WP)	what
PBpan25_18:456	is	VBZ(VBZ)	be
PBpan25_18:457	the	DT(DT)	the
PBpan25_18:458	_0	PA(PA)	
PBpan25_18:459	real	JJ(JJ)	real
PBpan25_18:460	convergence	NN(NN)	convergence
PBpan25_18:461	and	CC(CC)	and
PBpan25_18:462	what	WP(WP)	what
PBpan25_18:463	it	PP(PP)	it
PBpan25_18:464	_0	PA(PA)	
PBpan25_18:465	does	VVZ(VVZ)	do
PBpan25_18:466	look	VV(VV)	look
PBpan25_18:467	like	IN(IN)	like
PBpan25_18:468	_0	PA(PA)	
PBpan25_18:469	then	RB(RB)	then
PBpan25_18:470	to	TO(TO)	to
PBpan25_18:471	achieve	VV(VV)	achieve
PBpan25_18:472	that	DT(DT)	that
PBpan25_18:473	this	DT(DT)	this
PBpan25_18:474	probably	RB(RB)	probably
PBpan25_18:475	takes	VVZ(VVZ)	take
PBpan25_18:476	twenty	CD(CD)	twenty
PBpan25_18:477	thirty	CD(CD)	thirty
PBpan25_18:478	years	NNS(NNS)	year
PBpan25_18:479	_0	PA(PA)	
PBpan25_18:480	erm	UH(UH)	erm
PBpan25_18:481	_0	PA(PA)	
PBpan25_18:482	this	DT(DT)	this
PBpan25_18:483	means	VVZ(VVZ)	mean
PBpan25_18:484	that	IN(IN)	that
PBpan25_18:485	we	PP(PP)	we
PBpan25_18:486	have	VHP(VHP)	have
PBpan25_18:487	to	TO(TO)	to
PBpan25_18:488	_1	PA(PA)	
PBpan25_18:489	erm	UH(UH)	erm
PBpan25_18:490	_0	PA(PA)	
PBpan25_18:491	wait	VV(VV)	wait
PBpan25_18:492	for	IN(IN)	for
PBpan25_18:493	twenty	CD(CD)	twenty
PBpan25_18:494	thirty	CD(CD)	thirty
PBpan25_18:495	years	NNS(NNS)	year
PBpan25_18:496	to	TO(TO)	to
PBpan25_18:497	join	VV(VV)	join
PBpan25_18:498	_0	PA(PA)	
PBpan25_18:499	er	UH(UH)	er
PBpan25_18:500	s_mu	NP(NP)	s_mu
PBpan25_18:501	i	PP(PP)	i
PBpan25_18:502	think	VVP(VVP)	think
PBpan25_18:503	i-	XX(XX)	
PBpan25_18:504	it	PP(PP)	it
PBpan25_18:505	is	VBZ(VBZ)	be
PBpan25_18:506	not	RB(RB)	not
PBpan25_18:507	feasible	JJ(JJ)	feasible
PBpan25_18:508	_0	PA(PA)	
PBpan25_18:509	but	CC(CC)	but
PBpan25_18:510	the	DT(DT)	the
PBpan25_18:511	the	DT(DT)	the
PBpan25_18:512	real	JJ(JJ)	real
PBpan25_18:513	conver-	XX(XX)	
PBpan25_18:514	er	UH(UH)	er
PBpan25_18:515	the	DT(DT)	the
PBpan25_18:516	nominal	JJ(JJ)	nominal
PBpan25_18:517	convergence	NN(NN)	convergence
PBpan25_18:518	definitely	RB(RB)	definitely
PBpan25_18:519	helps	VVZ(VVZ)	help
PBpan25_18:520	us	PP(PP)	we
PBpan25_18:521	to	TO(TO)	to
PBpan25_18:522	go	VV(VV)	go
PBpan25_18:523	_0	PA(PA)	
PBpan25_18:524	to	IN(IN)	to
PBpan25_18:525	the	DT(DT)	the
PBpan25_18:526	direction	NN(NN)	direction
PBpan25_18:527	of	IN(IN)	of
PBpan25_18:528	er	UH(UH)	er
PBpan25_18:529	real	JJ(JJ)	real
PBpan25_18:530	convergence	NN(NN)	convergence
PBpan25_18:531	_0	PA(PA)	
PBpan25_18:532	so	DM(DM)	so
PBpan25_18:533	_0	PA(PA)	
PBpan25_18:534	and	CC(CC)	and
PBpan25_18:535	the	DT(DT)	the
PBpan25_18:536	last	JJ(JJ)	last
PBpan25_18:537	point	NN(NN)	point
PBpan25_18:538	er	UH(UH)	er
PBpan25_18:539	speaking	VVG(VVG)	speak
PBpan25_18:540	about	IN(IN)	about
PBpan25_18:541	the	DT(DT)	the
PBpan25_18:542	_0	PA(PA)	
PBpan25_18:543	loss	NN(NN)	loss
PBpan25_18:544	of	IN(IN)	of
PBpan25_18:545	the	DT(DT)	the
PBpan25_18:546	_1	PA(PA)	
PBpan25_18:547	real	JJ(JJ)	real
PBpan25_18:548	influence	NN(NN)	influence
PBpan25_18:549	of	IN(IN)	of
PBpan25_18:550	the	DT(DT)	the
PBpan25_18:551	central	NN(NN)	central
PBpan25_18:552	bank	NN(NN)	bank
PBpan25_18:553	which	PRE(PRE)	which
PBpan25_18:554	have	VHP(VHP)	have
PBpan25_18:555	_0	PA(PA)	
PBpan25_18:556	pegged	VVN(VVN)	peg
PBpan25_18:557	their	PP$(PP$)	they
PBpan25_18:558	currency	NN(NN)	currency
PBpan25_18:559	now	RB(RB)	now
PBpan25_18:560	to	IN(IN)	to
PBpan25_18:561	the	DT(DT)	the
PBpan25_18:562	euro	NP(NP)	euro
PBpan25_18:563	_0	PA(PA)	
PBpan25_18:564	i	PP(PP)	i
PBpan25_18:565	think	VVP(VVP)	think
PBpan25_18:566	the	DT(DT)	the
PBpan25_18:567	last	JJ(JJ)	last
PBpan25_18:568	thing	NN(NN)	thing
PBpan25_18:569	what	WP(WP)	what
PBpan25_18:570	we	PP(PP)	we
PBpan25_18:571	saw	VVD(VVD)	see
PBpan25_18:572	in	IN(IN)	in
PBpan25_18:573	a_[place10]	NP(NP)	
PBpan25_18:574	_0	PA(PA)	
PBpan25_18:575	erm	UH(UH)	erm
PBpan25_18:576	after	IN(IN)	after
PBpan25_18:577	the	DT(DT)	the
PBpan25_18:578	me-	XX(XX)	
PBpan25_18:579	january	NP(NP)	january
PBpan25_18:580	first	UNK(UNK)	first
PBpan25_18:581	when	WRB(WRB)	when
PBpan25_18:582	we	PP(PP)	we
PBpan25_18:583	_0	PA(PA)	
PBpan25_18:584	pegged	VVD(VVD)	peg
PBpan25_18:585	to	IN(IN)	to
PBpan25_18:586	the	DT(DT)	the
PBpan25_18:587	euro	NP(NP)	euro
PBpan25_18:588	_0	PA(PA)	
PBpan25_18:589	the	DT(DT)	the
PBpan25_18:590	interest	NN(NN)	interest
PBpan25_18:591	rates	NNS(NNS)	rate
PBpan25_18:592	immediately	RB(RB)	immediately
PBpan25_18:593	erm	UH(UH)	erm
PBpan25_18:594	i	PP(PP)	i
PBpan25_18:595	would	MD(MD)	will
PBpan25_18:596	n't	RB(RB)	not
PBpan25_18:597	say	VV(VV)	say
PBpan25_18:598	collapsed	VVD(VVD)	collapse
PBpan25_18:599	but	CC(CC)	but
PBpan25_18:600	_0	PA(PA)	
PBpan25_18:601	emerged	VVD(VVD)	emerge
PBpan25_18:602	towards	IN(IN)	towards
PBpan25_18:603	the	DT(DT)	the
PBpan25_18:604	euro	NP(NP)	euro
PBpan25_18:605	_0	PA(PA)	
PBpan25_18:606	and	CC(CC)	and
PBpan25_18:607	erm	UH(UH)	erm
PBpan25_18:608	it	PP(PP)	it
PBpan25_18:609	is	VBZ(VBZ)	be
PBpan25_18:610	it	PP(PP)	it
PBpan25_18:611	is	VBZ(VBZ)	be
PBpan25_18:612	i	PP(PP)	i
PBpan25_18:613	think	VVP(VVP)	think
PBpan25_18:614	for	IN(IN)	for
PBpan25_18:615	the	DT(DT)	the
PBpan25_18:616	_0	PA(PA)	
PBpan25_18:617	currently	RB(RB)	currently
PBpan25_18:618	_0	PA(PA)	
PBpan25_18:619	for	IN(IN)	for
PBpan25_18:620	the	DT(DT)	the
PBpan25_18:621	a_[place10]	NP(NP)	
PBpan25_18:622	economy	NN(NN)	economy
PBpan25_18:623	which	PRE(PRE)	which
PBpan25_18:624	is	VBZ(VBZ)	be
PBpan25_18:625	the	DT(DT)	the
PBpan25_18:626	fastest	JJS(JJS)	fast
PBpan25_18:627	growing	JJ(JJ)	growing
PBpan25_18:628	economy	NN(NN)	economy
PBpan25_18:629	in	IN(IN)	in
PBpan25_18:630	central	NP(NP)	central
PBpan25_18:631	and	CC(CC)	and
PBpan25_18:632	eastern	NP(NP)	eastern
PBpan25_18:633	europe	NP(NP)	europe
PBpan25_18:634	_1	PA(PA)	
PBpan25_18:635	erm	UH(UH)	erm
PBpan25_18:636	_1	PA(PA)	
PBpan25_18:637	approximately	RB(RB)	approximately
PBpan25_18:638	point	NN(NN)	point
PBpan25_18:639	three	CD(CD)	three
PBpan25_18:640	eight	CD(CD)	eight
PBpan25_18:641	point	NN(NN)	point
PBpan25_18:642	five	CD(CD)	five
PBpan25_18:643	per	NN(NN)	per
PBpan25_18:644	cent	NN(NN)	cent
PBpan25_18:645	_0	PA(PA)	
PBpan25_18:646	i	PP(PP)	i
PBpan25_18:647	think	VVP(VVP)	think
PBpan25_18:648	it	PP(PP)	it
PBpan25_18:649	's	VBS(VBS)	be
PBpan25_18:650	it	PP(PP)	it
PBpan25_18:651	is	VBZ(VBZ)	be
PBpan25_18:652	erm	UH(UH)	erm
PBpan25_18:653	_1	PA(PA)	
PBpan25_18:654	very	RB(RB)	very
PBpan25_18:655	very	RB(RB)	very
PBpan25_18:656	difficult	JJ(JJ)	difficult
PBpan25_18:657	to	TO(TO)	to
PBpan25_18:658	conduct	VV(VV)	conduct
PBpan25_18:659	er	UH(UH)	er
PBpan25_18:660	_0	PA(PA)	
PBpan25_18:661	erm	UH(UH)	erm
PBpan25_18:662	independent	JJ(JJ)	independent
PBpan25_18:663	monetary	JJ(JJ)	monetary
PBpan25_18:664	policy	NN(NN)	policy
PBpan25_18:665	_0	PA(PA)	
PBpan25_18:666	by	IN(IN)	by
PBpan25_18:667	not	RB(RB)	not
PBpan25_18:668	having	VHG(VHG)	have
PBpan25_18:669	the	DT(DT)	the
PBpan25_18:670	basic	JJ(JJ)	basic
PBpan25_18:671	the	DT(DT)	the
PBpan25_18:672	central	NN(NN)	central
PBpan25_18:673	bank	NN(NN)	bank
PBpan25_18:674	's	POS(POS)	's
PBpan25_18:675	instruments	NNS(NNS)	instrument
PBpan25_18:676	to	TO(TO)	to
PBpan25_18:677	_0	PA(PA)	
PBpan25_18:678	erm	UH(UH)	erm
PBpan25_18:679	influence	VV(VV)	influence
PBpan25_18:680	that	DT(DT)	that
PBpan25_18:681	so	DM(DM)	so
PBpan25_18:682	_0	PA(PA)	
PBpan25_18:683	everything	NN(NN)	everything
PBpan25_18:684	depends	VVZ(VVZ)	depend
PBpan25_18:685	on	IN(IN)	on
PBpan25_18:686	s_ecb	NP(NP)	s_ecb
PBpan25_18:687	s_'s	POS(POS)	s_'s
PBpan25_18:688	rates	NNS(NNS)	rate
PBpan25_18:689	and	CC(CC)	and
PBpan25_18:690	therefore	RB(RB)	therefore
PBpan25_18:691	_0	PA(PA)	
PBpan25_18:692	i	PP(PP)	i
PBpan25_18:693	think	VVP(VVP)	think
PBpan25_18:694	it	PP(PP)	it
PBpan25_18:695	's	VBS(VBS)	be
PBpan25_18:696	makes	VVZ(VVZ)	make
PBpan25_18:697	sense	NN(NN)	sense
PBpan25_18:698	to	TO(TO)	to
PBpan25_18:699	_0	PA(PA)	
PBpan25_18:700	quicker	RBR(RBR)	quick
PBpan25_18:701	move	VV(VV)	move
PBpan25_18:702	there	RB(RB)	there
PBpan25_18:703	in	IN(IN)	in
PBpan25_18:704	_0	PA(PA)	
PBpan25_18:705	and	CC(CC)	and
PBpan25_18:706	at	RB(RB)	at
PBpan25_18:707	least	RB(RB)	least
PBpan25_18:708	to	TO(TO)	to
PBpan25_18:709	be	VB(VB)	be
PBpan25_18:710	behind	IN(IN)	behind
PBpan25_18:711	the	DT(DT)	the
PBpan25_18:712	table	NN(NN)	table
PBpan25_18:713	and	CC(CC)	and
PBpan25_18:714	trying	VVG(VVG)	try
PBpan25_18:715	to	TO(TO)	to
PBpan25_18:716	influence	VV(VV)	influence
PBpan25_18:717	if	IN(IN)	if
PBpan25_18:718	they	PP(PP)	they
PBpan25_18:719	make	VVP(VVP)	make
PBpan25_18:720	decisions	NNS(NNS)	decision
PBpan25_18:721	rather	RB(RB)	rather
PBpan25_18:722	than	IN(IN)	than
PBpan25_18:723	just	RB(RB)	just
PBpan25_18:724	er	UH(UH)	er
PBpan25_18:725	be	VB(VB)	be
PBpan25_18:726	a	DT(DT)	a
PBpan25_18:727	_0	PA(PA)	
PBpan25_18:728	er	UH(UH)	er
PBpan25_18:729	decision	NN(NN)	decision
PBpan25_18:730	taker	NN(NN)	taker
PBpan25_18:731	_1	PA(PA)	

PBpan25_19:1	thank	FI(FI)	thank
PBpan25_19:2	you	FI(FI)	you
PBpan25_19:3	very	RB(RB)	very
PBpan25_19:4	much	RB(RB)	much
PBpan25_19:5	a_[S7]	NP(NP)	
PBpan25_19:6	most	RBS(RBS)	most
PBpan25_19:7	probably	RB(RB)	probably
PBpan25_19:8	you	PP(PP)	you
PBpan25_19:9	are	VBP(VBP)	be
PBpan25_19:10	_0	PA(PA)	
PBpan25_19:11	perfectly	RB(RB)	perfectly
PBpan25_19:12	correct	JJ(JJ)	correct
PBpan25_19:13	_0	PA(PA)	
PBpan25_19:14	if	IN(IN)	if
PBpan25_19:15	we	PP(PP)	we
PBpan25_19:16	er	UH(UH)	er
PBpan25_19:17	xx	UNI(UNI)	
PBpan25_19:18	the	DT(DT)	the
PBpan25_19:19	_0	PA(PA)	
PBpan25_19:20	only	RB(RB)	only
PBpan25_19:21	criteria	NNS(NNS)	criterion
PBpan25_19:22	or	CC(CC)	or
PBpan25_19:23	the	DT(DT)	the
PBpan25_19:24	exclusive	JJ(JJ)	exclusive
PBpan25_19:25	criteria	NNS(NNS)	criterion
PBpan25_19:26	of	IN(IN)	of
PBpan25_19:27	the	DT(DT)	the
PBpan25_19:28	xx	UNI(UNI)	
PBpan25_19:29	xx	UNI(UNI)	
PBpan25_19:30	in	IN(IN)	in
PBpan25_19:31	the	DT(DT)	the
PBpan25_19:32	even	RB(RB)	even
PBpan25_19:33	in	IN(IN)	in
PBpan25_19:34	the	DT(DT)	the
PBpan25_19:35	xx	UNI(UNI)	
PBpan25_19:36	policy	NN(NN)	policy
PBpan25_19:37	_0	PA(PA)	
PBpan25_19:38	er	UH(UH)	er
PBpan25_19:39	to	TO(TO)	to
PBpan25_19:40	get	VV(VV)	get
PBpan25_19:41	er	UH(UH)	er
PBpan25_19:42	to	TO(TO)	to
PBpan25_19:43	meet	VV(VV)	meet
PBpan25_19:44	er	UH(UH)	er
PBpan25_19:45	the	DT(DT)	the
PBpan25_19:46	maastricht	NP(NP)	maastricht
PBpan25_19:47	criteria	NNS(NNS)	criterion
PBpan25_19:48	and	CC(CC)	and
PBpan25_19:49	to	TO(TO)	to
PBpan25_19:50	get	VV(VV)	get
PBpan25_19:51	into	IN(IN)	into
PBpan25_19:52	the	DT(DT)	the
PBpan25_19:53	monetary	NN(NN)	monetary
PBpan25_19:54	union	NN(NN)	union
PBpan25_19:55	_0	PA(PA)	
PBpan25_19:56	then	RB(RB)	then
PBpan25_19:57	you	PP(PP)	you
PBpan25_19:58	are	VBP(VBP)	be
PBpan25_19:59	perfectly	RB(RB)	perfectly
PBpan25_19:60	correct	JJ(JJ)	correct
PBpan25_19:61	that	IN(IN)	that
PBpan25_19:62	the	DT(DT)	the
PBpan25_19:63	the	DT(DT)	the
PBpan25_19:64	only	JJ(JJ)	only
PBpan25_19:65	er	UH(UH)	er
PBpan25_19:66	_0	PA(PA)	
PBpan25_19:67	opportunity	NN(NN)	opportunity
PBpan25_19:68	to	TO(TO)	to
PBpan25_19:69	join	VV(VV)	join
PBpan25_19:70	as	RB(RB)	as
PBpan25_19:71	soon	RB(RB)	soon
PBpan25_19:72	as	IN(IN)	as
PBpan25_19:73	it	PP(PP)	it
PBpan25_19:74	is	VBZ(VBZ)	be
PBpan25_19:75	possible	JJ(JJ)	possible
PBpan25_19:76	_0	PA(PA)	
PBpan25_19:77	another	DT(DT)	another
PBpan25_19:78	thing	NN(NN)	thing
PBpan25_19:79	and	CC(CC)	and
PBpan25_19:80	i	PP(PP)	i
PBpan25_19:81	guess	VVP(VVP)	guess
PBpan25_19:82	this	DT(DT)	this
PBpan25_19:83	would	MD(MD)	will
PBpan25_19:84	be	VB(VB)	be
PBpan25_19:85	xx	UNI(UNI)	
PBpan25_19:86	x	UNI(UNI)	
PBpan25_19:87	x	UNI(UNI)	
PBpan25_19:88	xx	UNI(UNI)	
PBpan25_19:89	_0	PA(PA)	
PBpan25_19:90	there	EX(EX)	there
PBpan25_19:91	might	MD(MD)	may
PBpan25_19:92	be	VB(VB)	be
PBpan25_19:93	other	JJ(JJ)	other
PBpan25_19:94	p_criterias	PVC(NNS)	
PBpan25_19:95	to	IN(IN)	to
PBpan25_19:96	which	PRE(PRE)	which
PBpan25_19:97	we	PP(PP)	we
PBpan25_19:98	have	VHP(VHP)	have
PBpan25_19:99	er	UH(UH)	er
PBpan25_19:100	perhaps	RB(RB)	perhaps
PBpan25_19:101	xx	UNI(UNI)	
PBpan25_19:102	and	CC(CC)	and
PBpan25_19:103	we	PP(PP)	we
PBpan25_19:104	can	MD(MD)	can
PBpan25_19:105	er	UH(UH)	er
PBpan25_19:106	_0	PA(PA)	
PBpan25_19:107	er	UH(UH)	er
PBpan25_19:108	view	VV(VV)	view
PBpan25_19:109	the	DT(DT)	the
PBpan25_19:110	the	DT(DT)	the
PBpan25_19:111	performance	NN(NN)	performance
PBpan25_19:112	of	IN(IN)	of
PBpan25_19:113	different	JJ(JJ)	different
PBpan25_19:114	economics	NNS(NNS)	economic
PBpan25_19:115	_0	PA(PA)	
PBpan25_19:116	now	RB(RB)	now
PBpan25_19:117	let	VV(VV)	let
PBpan25_19:118	me	PP(PP)	i
PBpan25_19:119	turn	VV(VV)	turn
PBpan25_19:120	to	IN(IN)	to
PBpan25_19:121	a_[S8]	NP(NP)	
PBpan25_19:122	a_[S8/last]-	XX(XX)	
PBpan25_19:123	a_[S8/last]	NP(NP)	
PBpan25_19:124	the	DT(DT)	the
PBpan25_19:125	a_[place14]	NP(NP)	
PBpan25_19:126	erm	UH(UH)	erm
PBpan25_19:127	economy	NN(NN)	economy
PBpan25_19:128	and	CC(CC)	and
PBpan25_19:129	the	DT(DT)	the
PBpan25_19:130	a_[place14]	NP(NP)	
PBpan25_19:131	central	NN(NN)	central
PBpan25_19:132	bank	NN(NN)	bank
PBpan25_19:133	turned	VVD(VVD)	turn
PBpan25_19:134	out	RP(RP)	out
PBpan25_19:135	to	TO(TO)	to
PBpan25_19:136	be	VB(VB)	be
PBpan25_19:137	_0	PA(PA)	
PBpan25_19:138	er	UH(UH)	er
PBpan25_19:139	also	RB(RB)	also
PBpan25_19:140	very	RB(RB)	very
PBpan25_19:141	successful	JJ(JJ)	successful
PBpan25_19:142	in	IN(IN)	in
PBpan25_19:143	the	DT(DT)	the
PBpan25_19:144	previous	JJ(JJ)	previous
PBpan25_19:145	years	NNS(NNS)	year
PBpan25_19:146	_0	PA(PA)	
PBpan25_19:147	er	UH(UH)	er
PBpan25_19:148	you	PP(PP)	you
PBpan25_19:149	were	VBD(VBD)	be
PBpan25_19:150	able	JJ(JJ)	able
PBpan25_19:151	to	TO(TO)	to
PBpan25_19:152	keep	VV(VV)	keep
PBpan25_19:153	the	DT(DT)	the
PBpan25_19:154	inflation	NN(NN)	inflation
PBpan25_19:155	down	RB(RB)	down
PBpan25_19:156	as	IN(IN)	as
PBpan25_19:157	compared	VVD(VVD)	compare
PBpan25_19:158	to	IN(IN)	to
PBpan25_19:159	the	DT(DT)	the
PBpan25_19:160	whole	NN(NN)	whole
PBpan25_19:161	of	IN(IN)	of
PBpan25_19:162	the	DT(DT)	the
PBpan25_19:163	region	NN(NN)	region
PBpan25_19:164	_0	PA(PA)	
PBpan25_19:165	and	CC(CC)	and
PBpan25_19:166	er	UH(UH)	er
PBpan25_19:167	you	PP(PP)	you
PBpan25_19:168	have	VHP(VHP)	have
PBpan25_19:169	opted	VVN(VVN)	opt
PBpan25_19:170	a	DT(DT)	a
PBpan25_19:171	pretty	RB(RB)	pretty
PBpan25_19:172	pragmatic	JJ(JJ)	pragmatic
PBpan25_19:173	policy	NN(NN)	policy
PBpan25_19:174	_0	PA(PA)	
PBpan25_19:175	nonetheless	RB(RB)	nonetheless
PBpan25_19:176	er	UH(UH)	er
PBpan25_19:177	_0	PA(PA)	
PBpan25_19:178	er	UH(UH)	er
PBpan25_19:179	having	VHG(VHG)	have
PBpan25_19:180	given	VVN(VVN)	give
