EDwsd302:1	S1:	 er i'm studying english and spanish and my keywords are literature as well foreign students and amsterdam
EDwsd302:1046	S23:	 i'm fine thank you
EDwsd302:1047	S12:	 i'm fine thank you 
EDwsd302:1048	S23:	 thank you
EDwsd302:1049	SX-m:	 thank you @@@@
EDwsd302:1050	S17:	 so we it's it's not the ranking freedom cooperation solidarity sustainable development and respect
EDwsd302:1051	S18:	 we did agree on freedom
EDwsd302:1052	SX-m:	 yeah 
EDwsd302:1053	S18:	 all right
EDwsd302:1054	S17:	 yeah we chose freedom
EDwsd302:1055	SX-f:	 yeah so 
EDwsd302:1056	S18:	 and what 
EDwsd302:1057	S17:	 a- any objections 
EDwsd302:1058	SX-5:	 could you repeat 
EDwsd302:1059	S17:	 yeah freedom cooperation solidarity sustainable development respect 
EDwsd302:1060	S17:	 okay okay now let's rank them i think that cooperation is what we all agreed on @@ hh but i don't really believe it's the most im- 
EDwsd302:1061	SX:	 @
EDwsd302:1062	S21:	 okay but cooperation is not er first value i i think
EDwsd302:1063	S17:	 yeah 
EDwsd302:1064	S21:	 it has to be solidarity or freedom 
EDwsd302:1065	SX-f:	 yes
EDwsd302:1066	SX-m:	 yeah 
EDwsd302:1067	SS:	 yeah
EDwsd302:1068	SX-f:	 yeah 
EDwsd302:1069	S21:	 cos cooperation is something that is then we cooperate we have to 
EDwsd302:1070	S17:	 so is it solidarity or freedom
EDwsd302:1071	SX-6:	 solidarity 
EDwsd302:1072	S19:	 solidarity
EDwsd302:1073	S22:	 i like solidarity because it's an active thing 
EDwsd302:1074	SX-19:	 solidarity 
EDwsd302:1075	SX-20:	 solidarity
EDwsd302:1076	S22:	 that people do whereas freedom is more a abstract concept
EDwsd302:1077	SX-f:	 yeah 
EDwsd302:1078	S22:	 whereas solidarity implies an actual action
EDwsd302:1079	S17:	 okay do you agree 
EDwsd302:1080	S20:	 yeah 
EDwsd302:1081	S19:	 yeah solidarity xx 
EDwsd302:1082	S18:	 yes that's right 
EDwsd302:1083	S17:	 okay solidarity is number one and freedom is number two
EDwsd302:1084	S18:	 yeah
EDwsd302:1085	SX-f:	 yeah 
EDwsd302:1086	S22:	 yes okay 
EDwsd302:1087	SX-6:	 then the respect and cooperation 
EDwsd302:1088	SX-f:	 respect 
EDwsd302:1089	S17:	 maybe respect is number three because you cannot cooperate if you don't respect the other person 
EDwsd302:1090	SX-f:	 yeah so 
EDwsd302:1091	S18:	 yah 
EDwsd302:1092	S18:	 yeah 
EDwsd302:1093	SX-f:	 yeah 
EDwsd302:1094	SX-f:	 okay
EDwsd302:1095	SX-f:	 and 
EDwsd302:1096	S18:	 then coopera- -tion is four 
EDwsd302:1097	SX-m:	 xxx 
EDwsd302:1098	S17:	 then cooperation and finally 
EDwsd302:1099	SX-f:	 sustainable xx 
EDwsd302:1100	SX-f:	 xxx 
EDwsd302:1101	S17:	 oh we are good
EDwsd302:1102	SX-f:	 talk 
EDwsd302:1103	S18:	 all right
EDwsd302:1104	S17:	 now who will be the two people to negotiate with the other groups
EDwsd302:1105	S18:	 okay 
EDwsd302:1106	S17:	 volunteers
EDwsd302:1107	SX-f:	 you are very xx 
EDwsd302:1108	S21:	 but we can do it 
EDwsd302:1109	S18:	 you can do that
EDwsd302:1110	SX-f:	 i don't mind no 
EDwsd302:1111	SS:	 @@@@
EDwsd302:1112	S17:	 @@@@@
EDwsd302:1113	S21:	 you have to negotiate 
EDwsd302:1114	S18:	 if you want to 
EDwsd302:1115	SX-f:	 @
EDwsd302:1116	S21:	 who 
EDwsd302:1117	S19:	 i can be the xxx 
EDwsd302:1118	S17:	 i think that you and you 
EDwsd302:1119	S19:	 i can be the second if you like 
EDwsd302:1120	S21:	 but who are we going to xxx x 
EDwsd302:1121	S17:	 okay let's go
EDwsd302:1122	S18:	 all right 
EDwsd302:1123	SX-f:	 we have 
EDwsd302:1124	S17:	 we have read 
EDwsd302:1125	S18:	 i'll i'll be the one who who x the microphone between you 
EDwsd302:1126	SX-f:	 @@ @@@
EDwsd302:1127	S17:	 you you can come as a journalist and just back up 
EDwsd302:1128	S18:	 i'm going to be the journalist yes 
EDwsd302:1129	SX-f:	 @@@
EDwsd302:1130	S4:	 if i may have your attention please er i'm going to ask all the groups there are three groups left
EDwsd302:1131	SX-f:	 yeah 
EDwsd302:1132	S4:	 to nominate two er two people who are going to negotiate for er the end s- result the end list five values 
EDwsd302:1133	S17:	 okay 
EDwsd302:1134	S4:	 so if i may ask this group to tell who the two persons are and your group 
EDwsd302:1135	S17:	 we are ready
EDwsd302:1136	SX-f:	 xxx 
EDwsd302:1137	S4:	 and your group
EDwsd302:1138	SX-f:	 xxx
EDwsd302:1139	S15:	 that's one group 
EDwsd302:1140	S17:	 where is the meeting place 
EDwsd302:1141	SX-f:	 the meeting 
EDwsd302:1142	S12:	 outside 
EDwsd302:1143	S17:	 @@ outside okay 
EDwsd302:1144	SS:	 @@@@@
EDwsd302:1145	S18:	 no there in front of us 
EDwsd302:1146	SX-16:	 @@@@
EDwsd302:1147	S17:	 okay let's go
EDwsd302:1148	SX-16:	 @@@@@
EDwsd302:1149	S20:	 so we have show xx 
EDwsd302:1150	S18:	 no i only x xx 
EDwsd302:1151	S17:	 two of us and we have er a secret er 
EDwsd302:1152	S18:	 journalist
EDwsd302:1153	S17:	 listener weapon @@@ listener @@@
EDwsd302:1154	S18:	 @@@@@
EDwsd302:1155	SX-m:	 this sucks 
EDwsd302:1156	S19:	 we have to make a xx with the other x to get er 
EDwsd302:1157	SX-f:	 erm 
EDwsd302:1158	S18:	 so i think 
EDwsd302:1159	SX-f:	 erm 
EDwsd302:1160	S18:	 i go 
EDwsd302:1161	S7:	 okay so who's er here the negoti- -iators 
EDwsd302:1162	SX-f:	 xx is 
EDwsd302:1163	S7:	 xxxx okay so you're gonna make xx 
EDwsd302:1164	S17:	 don't kill the messengers 
EDwsd302:1165	SS:	 @@@@
EDwsd302:1166	SX-f:	 because they had 
EDwsd302:1167	S18:	 but i think that can't we do it in front so that everybody can listen in
EDwsd302:1168	SX-m:	
EDwsd302:1169	S18:	 why not
EDwsd302:1170	SX-f:	 because everybody has to xx x 
EDwsd302:1171	SX-f:	 yeah xxx 
EDwsd302:1172	S20:	 so 
EDwsd302:1173	SX-12:	 yes yes yeah 
EDwsd302:1174	S20:	 we have a short break now
EDwsd302:1175	SX-f:	 because then they go no we said this and this and this no no no no no i want this in 
EDwsd302:1176	SX-12:	 yes yes 
EDwsd302:1177	SX-f:	 hh 
EDwsd302:1178	SX-16:	 @@
EDwsd302:1179	S19:	 but the other 
EDwsd302:1180	S18:	 are you sure
EDwsd302:1181	SX-m:	 we only hear each other's xx 
EDwsd302:1182	S12:	 it could be funnier like that 
EDwsd302:1183	S18:	 right 
EDwsd302:1184	SX-f:	 yeah 
EDwsd302:1185	SX-7:	 yeah i'm gonna x my values xx 
EDwsd302:1186	S16:	 i want you x outside 
EDwsd302:1187	S18:	 all right
EDwsd302:1188	S16:	 @@@
EDwsd302:1189	SX-f:	 go ahead 
EDwsd302:1190	SX-17:	 no no no no 
EDwsd302:1191	S18:	 no no no no
EDwsd302:1192	S20:	 should we hold a negotiation how long 
EDwsd302:1193	S13:	 xxxxx 
EDwsd302:1194	SX-f:	 yeah 
EDwsd302:1195	S20:	 yeah okay so now we have short break 
EDwsd302:1196	SX-m:	 no no i'm 
EDwsd302:1197	S13:	 are you fighting as well
EDwsd302:1198	SX-m:	 is it as well
EDwsd302:1199	SX-f:	 sorry 
EDwsd302:1200	SS:	 no 
EDwsd302:1201	S15:	 you want a short break
EDwsd302:1202	S13:	 x we don't like the x so you can like x x xx 
EDwsd302:1203	S17:	 @@@@
EDwsd302:1204	SX-f:	 yeah 
EDwsd302:1205	S18:	 i promise i won't say anything
EDwsd302:1206	SX-m:	 yeah 
EDwsd302:1207	SX-f:	 @@@@@
EDwsd302:1208	S19:	 don't say this 
EDwsd302:1209	S7:	 yeah yeah yeah @@
EDwsd302:1210	SS:	 @@@
EDwsd302:1211	S7:	 @@ i'm gonna 
EDwsd302:1212	S17:	 we might need xx 
EDwsd302:1213	S18:	 i'm not allowed to interrupt 
EDwsd302:1214	S19:	 but but you are allowed to if we if you want to explain something okay
EDwsd302:1215	S17:	 we might need you 
EDwsd302:1216	S18:	 yeah but if i want to explain 
EDwsd302:1217	S17:	 @@@@@@
EDwsd302:1218	S19:	 but not like object not object 
EDwsd302:1219	S18:	 not object oh sorry 
EDwsd302:1220	S17:	 only manipulate
EDwsd302:1221	S18:	 @@@ only when i agree i can say yeah
EDwsd302:1222	SX-f:	 @
EDwsd302:1223	SS:	 @@
EDwsd302:1224	S19:	 yeah @
EDwsd302:1225	SX-f:	 okay
EDwsd302:1226	SX-f:	 okay
EDwsd302:1227	S18:	 all right
EDwsd302:1228	S13:	 are we going anywhere 
EDwsd302:1229	SX-7:	 i think just just 
EDwsd302:1230	S13:	 are you are you fighting as well or are you just recording 
EDwsd302:1231	S18:	 no i'm the journalist
EDwsd302:1232	S17:	 so where i i don't like the
EDwsd302:1233	SX-7:	 oh 
EDwsd302:1234	SX-f:	 @@@
EDwsd302:1235	S18:	 i'm not allowed to we just said 
EDwsd302:1236	S17:	 it's too cold here 
EDwsd302:1237	SX-f:	 xxx 
EDwsd302:1238	S18:	 one isn't allowed to interrupt 
EDwsd302:1239	S13:	 damn @
EDwsd302:1240	S17:	 okay let's go let's go over there 
EDwsd302:1241	SX-7:	 yeah 
EDwsd302:1242	S13:	 he'll be on our side 
EDwsd302:1243	S18:	 no because xxx 
EDwsd302:1244	S20:	 you have to go outside
EDwsd302:1245	S7:	 to negotiate xx let's go outside 
EDwsd302:1246	S18:	 because she said otherwise everybody would interrupt
EDwsd302:1247	S17:	 no outside
EDwsd302:1248	S13:	 yeah 
EDwsd302:1249	S19:	 yeah 
EDwsd302:1250	S17:	 it's cold outside
EDwsd302:1251	S19:	 the corridor it's not that cold 
EDwsd302:1252	S13:	 we're still waiting for two people to come down 
EDwsd302:1253	S7:	 yeah we're gonna fight so you gonna get up xx 
EDwsd302:1254	S19:	 oh yah 
EDwsd302:1255	SX-f:	 yeah yeah 
EDwsd302:1256	SX-f:	 temperature xx 
EDwsd302:1257	S18:	 xxx work nothing xxxx 
EDwsd302:1258	S17:	 the guy from portugal which
EDwsd302:1259	SX-7:	 it doesn't matter 
EDwsd302:1260	S17:	 er who we walked with was very disappointed with the climate @ but 
EDwsd302:1261	S18:	 yah it xxx but usually i can i can use this xxx 
EDwsd302:1262	SS:	 @@@
EDwsd302:1263	S18:	 the audio because it's extremely loud 
EDwsd302:1264	S17:	 it's understandable xx his decision 
EDwsd302:1265	SX-7:	 yah 
EDwsd302:1266	SX-f:	 there's not x 
EDwsd302:1267	S18:	 it's extremely loud 
EDwsd302:1268	S19:	 er do you have it here 
EDwsd302:1269	S18:	 yeah but that's xx nothing of that works in a normal 
EDwsd302:1270	S19:	 er sorry because i think erm 
EDwsd302:1271	S7:	 okay 
EDwsd302:1272	SX-f:	 because you have the hold on 
EDwsd302:1273	S18:	 ah 
EDwsd302:1274	S13:	 did i have two 
EDwsd302:1275	S17:	 shall we
EDwsd302:1276	S18:	 oh thank you i was getting desperate 
EDwsd302:1277	S19:	 yeah cos i know i 
EDwsd302:1278	S17:	 le- let's get out 
EDwsd302:1279	S7:	 are we not staying 
EDwsd302:1280	S18:	 i was getting desp- you know x just xxxx 
EDwsd302:1281	S17:	 no out out 
EDwsd302:1282	S19:	 do you note about the hold of i mean if you have it in a pocket then you can
EDwsd302:1283	S18:	 ah 
EDwsd302:1284	S17:	 so how many groups do we have three
EDwsd302:1285	S18:	 oh thank you @@
EDwsd302:1286	S7:	 yah so then we should be six people
EDwsd302:1287	S18:	 it's so easy sometimes but 
EDwsd302:1288	S19:	 aha 
EDwsd302:1289	SX-7:	 okay 
EDwsd302:1290	S17:	 okay now i i suggest that we all read our suggestions and see what are the common points 
EDwsd302:1291	S7:	 we are all women 
EDwsd302:1292	S7:	 yeah yeah and if you have some xx just list them in the end yeah 
EDwsd302:1293	S17:	 okay ju- 
EDwsd302:1294	S17:	 er er so i read them in order 
EDwsd302:1295	S7:	 mhm 
EDwsd302:1296	S17:	 first one solidarity second one freedom 
EDwsd302:1297	SX-7:	 ah 
EDwsd302:1298	S17:	 number three respect 
EDwsd302:1299	SX-7:	 oh 
EDwsd302:1300	S17:	 number four cooperation 
EDwsd302:1301	SX-7:	 oh 
EDwsd302:1302	S17:	 number five sustainable development @@@@
EDwsd302:1303	SX-m:	 yah xx 
EDwsd302:1304	S7:	 you sound like the u you sound like the u n yeah okay so er 
EDwsd302:1305	S17:	 it's your it's your turn 
EDwsd302:1306	S7:	 reaching highest is love or course 
EDwsd302:1307	SS:	 @@@@
EDwsd302:1308	S7:	 er and then we have freedom as well so i see that we have something in common here er knowledge tolerance and mutual understanding
EDwsd302:1309	SX-f:	 x 
EDwsd302:1310	SX-f:	 @@
EDwsd302:1311	SX-5:	 @@ okay 
EDwsd302:1312	S19:	 tolerance was the fir- fourth 
EDwsd302:1313	S7:	 yes and then mutual understanding
EDwsd302:1314	S17:	 okay and number three 
EDwsd302:1315	S13:	 i'm the same 
EDwsd302:1316	SX-17:	 oh 
EDwsd302:1317	SX-6:	 okay
EDwsd302:1318	SX:	 okay
EDwsd302:1319	SX-6:	 humanity freedom tolerance knowledge and happiness 
EDwsd302:1320	SX-7:	 oh we x the same 
EDwsd302:1321	S19:	 what is the first
EDwsd302:1322	S17:	 er er are all xx- 
EDwsd302:1323	SX-6:	 humanity 
EDwsd302:1324	S7:	 humanity 
EDwsd302:1325	SX-f:	 hu- 
EDwsd302:1326	S13:	 no or similar similar 
EDwsd302:1327	SX-f:	 humility 
EDwsd302:1328	SX-f:	 humanity 
EDwsd302:1329	SS:	 humanity 
EDwsd302:1330	SX-6:	 er humanity 
EDwsd302:1331	S19:	 okay okay 
EDwsd302:1332	S17:	 so i think that we all have freedom 
EDwsd302:1333	S13:	 we all have freedom 
EDwsd302:1334	S13:	 is that 
EDwsd302:1335	SX-f:	 @
EDwsd302:1336	S13:	 second or we all have freedom as numbers two 
EDwsd302:1337	SX-7:	 so okay so 
EDwsd302:1338	S17:	 so freedom is okay 
EDwsd302:1339	SX-7:	 freedom great
EDwsd302:1340	SX-f:	 yah 
EDwsd302:1341	S17:	 we need four more 
EDwsd302:1342	SX-f:	 okay 
EDwsd302:1343	SX-f:	 yes 
EDwsd302:1344	SX-f:	 okay four 
EDwsd302:1345	SX-f:	 okay another 
EDwsd302:1346	S7:	 i have i insist on love
EDwsd302:1347	S17:	 we have we have progress @
EDwsd302:1348	SS:	 @@
EDwsd302:1349	SX-6:	 okay i 
EDwsd302:1350	S13:	 she's a diplomat 
EDwsd302:1351	S17:	 we had have we sorry 
EDwsd302:1352	S19:	 we had a discussion about 
EDwsd302:1353	S17:	 had a whole discussion about x 
EDwsd302:1354	SX-f:	 yah 
EDwsd302:1355	S5:	 yah we we we had a discussion about love as well and erm to put forward our 
EDwsd302:1356	SX-13:	 tell us 
EDwsd302:1357	S5:	 our argument why we we er integrated 
EDwsd302:1358	SX-f:	 @
EDwsd302:1359	S5:	 in which one did we integrate it actually 
EDwsd302:1360	S17:	 everywhere @@@
EDwsd302:1361	SX-6:	 er 
EDwsd302:1362	S13:	 tolerance it could be 
EDwsd302:1363	S5:	 i mean 
EDwsd302:1364	S5:	 it's like it's it it is a- actually actually it was er humanity because humanity i mean in in my group we we started out with erm humanity having sort of like a social 
EDwsd302:1365	SX-f:	 oh yeah 
EDwsd302:1366	S5:	 erm aspect sort of erm loving your family loving your friends erm helping but it's also helping others 
EDwsd302:1367	SX-19:	 help yourself 
EDwsd302:1368	S5:	 erm that was it huh 
EDwsd302:1369	SX-19:	 something xxxx 
EDwsd302:1370	S5:	 thought of yah and erm so because i could not really go along with love that's too broad for me and it's too romantic 
EDwsd302:1371	S6:	 and it's too big word for everything 
EDwsd302:1372	SX-7:	 and it's too 
EDwsd302:1373	SX-f:	 mhm 
EDwsd302:1374	S19:	 yeah we also included 
EDwsd302:1375	SX-f:	 i don't know 
EDwsd302:1376	SX-f:	 it might be too much of the xxx 
EDwsd302:1377	S17:	 we integrated 
EDwsd302:1378	S13:	 x be the referee @
EDwsd302:1379	SX-f:	 yeah
EDwsd302:1380	SX-f:	 recipients 
EDwsd302:1381	S17:	 we integrated love in er respect solidarity and cooperation
EDwsd302:1382	SX-f:	 okay 
EDwsd302:1383	S7:	 erm 
EDwsd302:1384	S19:	 so it's like in all of of our xx 
EDwsd302:1385	S5:	 yeah yah because it's it's sort of like inside of these things 
EDwsd302:1386	SX-6:	 okay 
EDwsd302:1387	SX-f:	 okay
EDwsd302:1388	SX-f:	 what
EDwsd302:1389	SX-6:	 but i heard even more knowledge what about knowledge 
EDwsd302:1390	SX-f:	 n-n
EDwsd302:1391	S7:	 knowledge knowledge is good 
EDwsd302:1392	SX-6:	 of course 
EDwsd302:1393	S19:	 yeah 
EDwsd302:1394	SX-f:	 we have nothing x x xx 
EDwsd302:1395	S19:	 yeah we don't have xx but but 
EDwsd302:1396	SX-f:	 no 
EDwsd302:1397	S17:	 le- let's let's see what er similar things are i think that we all have something about tolerance respect and cooperation so 
EDwsd302:1398	S19:	 tolerance yeah
EDwsd302:1399	S13:	 yeah 
EDwsd302:1400	S17:	 maybe we should just 
EDwsd302:1401	S7:	 choose one 
EDwsd302:1402	S13:	 tolerance 
EDwsd302:1403	SX-6:	 yes 
EDwsd302:1404	S7:	 tolerance cos that kind of encompasses everything 
EDwsd302:1405	S6:	 freedom and tolerance 
EDwsd302:1406	SX-7:	 yeah 
EDwsd302:1407	S6:	 okay 
EDwsd302:1408	S17:	 i think that we can er meet our re- respect because even half of the group was for respect and the others were tolerance and we had a discussion for the difference between respect and tolerance 
EDwsd302:1409	SX-f:	 mhm 
EDwsd302:1410	S19:	 yeah we we fight xxx 
EDwsd302:1411	S13:	 perhaps we should have respect and tolerance 
EDwsd302:1412	S5:	 but we we 
EDwsd302:1413	S17:	 no 
EDwsd302:1414	S5:	 we had a i think we had something like er we also voted on 
EDwsd302:1415	SX-6:	
EDwsd302:1416	S5:	 tolerance didn't we 
EDwsd302:1417	S6:	 i- it's it's better tolerance for for us 
EDwsd302:1418	SX-f:	 okay 
EDwsd302:1419	SX-f:	 yeah
EDwsd302:1420	S19:	 we we thought that in in a sense of er in respect you you 
EDwsd302:1421	SX-6:	 and it's xx 
EDwsd302:1422	SX-f:	 yah 
EDwsd302:1423	SX-f:	 hm 
EDwsd302:1424	S19:	 er do something more you accept also the other 
EDwsd302:1425	SX-f:	
EDwsd302:1426	SX-13:	 yeah 
EDwsd302:1427	S19:	 so it's like something more active 
EDwsd302:1428	S17:	 yeah because to tolerate is just to bear and we x 
EDwsd302:1429	S19:	 yeah it's just like well leave leave it be and you know 
EDwsd302:1430	SX-f:	 hm 
EDwsd302:1431	S19:	 so that's why we chose 
EDwsd302:1432	S17:	 and that's why we chose respect because we thought that respect is something more than just to tolerate
EDwsd302:1433	S13:	 yeah we had that argument as well 
EDwsd302:1434	S17:	 than just to accept 
EDwsd302:1435	S7:	 yah maybe should 
EDwsd302:1436	S17:	 so 
EDwsd302:1437	S7:	 you know i could i could i could 
EDwsd302:1438	S13:	 that kind of respect and tolerance is kind of bordering they're kind of similar xx 
EDwsd302:1439	SX-6:	 yeah 
EDwsd302:1440	SX-6:	 yeah you're sure 
EDwsd302:1441	S17:	 because to tolerate might some- sometimes mean just to bear x 
EDwsd302:1442	S13:	 just to accept without really
EDwsd302:1443	S17:	 yeah or even not to care about its existence
EDwsd302:1444	S13:	 so should we have respect and tolerance or pick one of them 
EDwsd302:1445	S5:	 can we have two
EDwsd302:1446	S17:	 erm i think we can we can choose all no no no 
EDwsd302:1447	SX-f:	 @@@
EDwsd302:1448	S13:	 but we x allowed five 
EDwsd302:1449	SX-17:	 but 
EDwsd302:1450	S13:	 we're allowed five 
EDwsd302:1451	SX-6:	 you have three 
EDwsd302:1452	SX-4:	 five five there's one x in the program 
EDwsd302:1453	S17:	 i think the t- they're too similar to waste our positions for two things that are that similar
EDwsd302:1454	SX-4:	 to x your own group 
EDwsd302:1455	S17:	 maybe we should ju- 
EDwsd302:1456	S13:	 respectful tolerance 
EDwsd302:1457	SX-4:	 a xx labeling 
EDwsd302:1458	SS:	 @@@@@@
EDwsd302:1459	SX-f:	 okay 
EDwsd302:1460	S17:	 hh amusing 
EDwsd302:1461	S7:	 yeah because respect also kind of 
EDwsd302:1462	SX-f:	 xxx 
EDwsd302:1463	S6:	 and what about tolerance with respect 
EDwsd302:1464	SX-f:	 er it's the same as mutual understanding 
EDwsd302:1465	S19:	 @@
EDwsd302:1466	SX-13:	 n- no
EDwsd302:1467	SX-f:	 respect is x xx 
EDwsd302:1468	S7:	 okay well okay i'll go for respect xx yah i agree 
EDwsd302:1469	S17:	 like this we x 
EDwsd302:1470	S17:	 do you agree do agree about respect 
EDwsd302:1471	S7:	 xx
EDwsd302:1472	S7:	 we can go for respect can't we
EDwsd302:1473	S13:	 but if we respect people we might not tolerate them
EDwsd302:1474	S17:	 thus do agree that respect is something more 
EDwsd302:1475	S13:	 actually you can't have that can you 
EDwsd302:1476	S17:	 a step further 
EDwsd302:1477	S13:	 you can't respect someone but not tolerate them can you
EDwsd302:1478	SX-7:	 no if you respect someone you tolerate them 
EDwsd302:1479	S19:	 i think you can i think if you respe- x 
EDwsd302:1480	S17:	 to to respect y- 
EDwsd302:1481	SX-f:	 the you tolerate yah okay 
EDwsd302:1482	S17:	 to respect otherness is a bit more important than just to tolerate it 
EDwsd302:1483	S13:	 should we have respect then 
EDwsd302:1484	SX-6:	 we can have respect 
EDwsd302:1485	S7:	 yeah
EDwsd302:1486	SX-f:	 i mean respect 
EDwsd302:1487	SX-f:	 what is res- 
EDwsd302:1488	S19:	 no but it's so similar i mean 
EDwsd302:1489	SX-6:	 it's not it's not it's not it's not the
EDwsd302:1490	S17:	 respect and tolerance xxx 
EDwsd302:1491	S13:	 yeah 
EDwsd302:1492	S5:	 mhm 
EDwsd302:1493	SX-6:	 actually it's not the 
EDwsd302:1494	S7:	 it's just stronger i feel as if respect is is more as a as a erm 
EDwsd302:1495	SX-13:	 respect
EDwsd302:1496	SX-f:	 mhm 
EDwsd302:1497	S7:	 admirable or 
EDwsd302:1498	S6:	 i think we can choose respect 
EDwsd302:1499	S5:	 mhm 
EDwsd302:1500	S5:	 yeah i think we can xx 
EDwsd302:1501	S13:	 so what y- er what we having at number two we got as freedom because we were having freedom as number two
EDwsd302:1502	SX-f:	 okay 
EDwsd302:1503	SX-f:	 okay 
EDwsd302:1504	S17:	 so it is respect right 
EDwsd302:1505	S19:	 well we gonna have to
EDwsd302:1506	S19:	 know the this hierarchy and so we just 
EDwsd302:1507	SX-13:	 oh okay okay right right right 
EDwsd302:1508	S7:	 we have freedom and respect 
EDwsd302:1509	SX-f:	 freedom 
EDwsd302:1510	S7:	 that is good how about knowledge
EDwsd302:1511	SX-6:	
EDwsd302:1512	S13:	 yeah i'm really into knowledge
EDwsd302:1513	S19:	 yeah i think it's good because er 
EDwsd302:1514	SX-f:	 hh er er 
EDwsd302:1515	S13:	 we can't respect if we don't have knowledge about the world 
EDwsd302:1516	S19:	 it's something different there from the from these others and it's 
EDwsd302:1517	SX-7:	 it's so important to 
EDwsd302:1518	SX-f:	 yeah 
EDwsd302:1519	S17:	 well first in my first in my personal list there was academism but it just @ fell down in the very beginning 
EDwsd302:1520	S19:	 yah 
EDwsd302:1521	SX-7:	 to understand you have to know 
EDwsd302:1522	SX-f:	 xxx @@@
EDwsd302:1523	S19:	 well 
EDwsd302:1524	SX-f:	 er 
EDwsd302:1525	S19:	 well i like knowledge i'm 
EDwsd302:1526	S7:	 knowledge yeah because it's so xxx 
EDwsd302:1527	S6:	 xx as well 
EDwsd302:1528	S17:	 okay can i just get ba- sorry about that but ju- just get back to the common things because we all had something about cooperation and er what do you x on 
EDwsd302:1529	S19:	 well but we can accept knowledge because we don't have it it our lists so 
EDwsd302:1530	SX-7:	 yeah 
EDwsd302:1531	SX-7:	 it's that's why i feel that knowledge 
EDwsd302:1532	S5:	 as as as long 
EDwsd302:1533	S17:	 do you have knowledge 
EDwsd302:1534	S5:	 yeah we have it a- a- as 
EDwsd302:1535	SX-6:	 we have knowledge 
EDwsd302:1536	S5:	 i i just wo- would like to erm throw into the discussion that knowledge does not necessarily have to be academic
EDwsd302:1537	S13:	 no no that's not in academics 
EDwsd302:1538	S7:	 no no no no that's why we're saying knowledge is not academic 
EDwsd302:1539	S19:	 yes but that's why it's 
EDwsd302:1540	S19:	 yeah xx 
EDwsd302:1541	S17:	 [S19] do you do we accept knowledge 
EDwsd302:1542	S19:	 yes 
EDwsd302:1543	S13:	 yeah 
EDwsd302:1544	S17:	 okay
EDwsd302:1545	S7:	 okay we have three that is xxx 
EDwsd302:1546	SX-6:	 okay knowledge 
EDwsd302:1547	SX-f:	 super 
EDwsd302:1548	S17:	 now xx 
EDwsd302:1549	S13:	 we didn't need the boxing gloves after all
EDwsd302:1550	S19:	 @@@ yeah erm 
EDwsd302:1551	SX-5:	 x four
EDwsd302:1552	SX-f:	 hh 
EDwsd302:1553	S17:	 so 
EDwsd302:1554	S19:	 so then there was something did we have something about cooperation of 
EDwsd302:1555	S13:	 free- ah we have freedom
EDwsd302:1556	S13:	 xxx needs 
EDwsd302:1557	S19:	 or dialogue xx 
EDwsd302:1558	SX-6:	 no we have er healthness 
EDwsd302:1559	SX-5:	 humanity really 
EDwsd302:1560	SX-6:	 humanity and 
EDwsd302:1561	S19:	 humanity 
EDwsd302:1562	S17:	 er 
EDwsd302:1563	S19:	 tolerance
EDwsd302:1564	SX-f:	 tole- @@
EDwsd302:1565	SX-f:	 @ tolerance 
EDwsd302:1566	S17:	 to- tolerance is okay 
EDwsd302:1567	SX-6:	 yes it was mine 
EDwsd302:1568	SX-5:	 and we have 
EDwsd302:1569	S17:	 so what is the last one
EDwsd302:1570	SX-6:	 healthness 
EDwsd302:1571	S17:	 helpne- 
EDwsd302:1572	SX-13:	 helpfulness 
EDwsd302:1573	SX-f:	 health 
EDwsd302:1574	S17:	 helpfulness 
EDwsd302:1575	SX-7:	 health 
EDwsd302:1576	SS:	 ah 
EDwsd302:1577	S17:	 health 
EDwsd302:1578	SX-6:	 healthness
EDwsd302:1579	SX-f:	 okay health 
EDwsd302:1580	S13:	 health i think that's really impossible
EDwsd302:1581	SX-6:	 health 
EDwsd302:1582	S13:	 not everyone because i mean that the the aids situation in africa they can't help it they're x there 
EDwsd302:1583	SX-7:	 what is that 
EDwsd302:1584	S17:	 why do you stay there come here
EDwsd302:1585	SX-m:	 i just listen in
EDwsd302:1586	SS:	 @@@
EDwsd302:1587	S7:	 but you really can't operationalize health and what is 
EDwsd302:1588	SX-f:	 health 
EDwsd302:1589	S17:	 xx do you think health is really a value or something like this 
EDwsd302:1590	SX-f:	 xxx 
EDwsd302:1591	SX-f:	 isn't 
EDwsd302:1592	SX-6:	 but for me for example is very important xx xx 
EDwsd302:1593	S13:	 yeah for you xx 
EDwsd302:1594	S17:	 yah it is important but is it 
EDwsd302:1595	SX-f:	 a a 
EDwsd302:1596	S17:	 really a value 
EDwsd302:1597	SX-6:	 we decided the to take healthness 
EDwsd302:1598	SX-f:	 mhm 
EDwsd302:1599	SX-6:	 also
EDwsd302:1600	S13:	 but we kind of xx globally i mean people in africa who are starving 
EDwsd302:1601	SX-6:	 so 
EDwsd302:1602	S13:	 are who have got aids because of the war and all of that they can't choose to be healthy they don't have a choice 
EDwsd302:1603	S19:	 but 
EDwsd302:1604	S19:	 of course we can say that er that can be a value i mean that can be
EDwsd302:1605	S13:	 but not everyone can abide by that 
EDwsd302:1606	S19:	 a reason to to help i mean it is not 
