POmtg546:1	SX-7:	 will you be at the [org3] meeting next week
POmtg546:609	S1:	 hm 
POmtg546:610	S9:	 er that's what you'd have to p- abide by 
POmtg546:611	S11:	 yah okay 
POmtg546:612	S11:	 yah i see 
POmtg546:613	S9:	 but that's not the only model xxxxx it's not the exclusive one 
POmtg546:614	SX-10:	 hm 
POmtg546:615	S1:	 hh i mean we should remember it's a sobering thought that as we look over the forty-one [org3] members and count those who have at this time been subject or subjected themselves to external reviews who don't need more than one hand 
POmtg546:616	SX-m:	 hm 
POmtg546:617	S1:	 i mean it's a very low number 
POmtg546:618	SX:	 @
POmtg546:619	SX-m:	 mhm 
POmtg546:620	S3:	 hm 
POmtg546:621	S1:	 so i mean it's not that we are going against a tide of 
POmtg546:622	SX-m:	 hm 
POmtg546:623	S1:	 nationally based reviews hh er far from it hh so 
POmtg546:624	SX-11:	 hm 
POmtg546:625	S1:	 i quite agree with [S9]'s way of putting it er in in in this context so but it will be more elaborate in the text er several of you will receive by by thursday we just need to put a finishing touch x 
POmtg546:626	S4:	 hm 
POmtg546:627	S1:	 on on on the work tomorrow hh [S9] i think we should take yours er presentation now because time is running i suddenly realize 
POmtg546:628	S9:	 okay i'll 
POmtg546:629	S9:	 thanks i'll try and be quick the the job of this working group that i've been chairing was to develop an agreed set x this is a quote an agreed set of standard procedures and guidelines on quality assurance there's been some discussion and some disagreement in the quadripartite group as to what that means 
POmtg546:630	SX-m:	 hm 
POmtg546:631	S9:	 hh er and the there's been no erm definitive elucidation hh from anybody as to exactly what was meant by the authors of the [place4] communiqué erm inviting that phrase er [org3]'s taken the er view that its procedures and guidelines on quality assurance within higher education institutions hh er rather than er procedures er er standard procedures and guidelines for quality assurance agencies to apply themselves to themselves because which was the alternative reading 
POmtg546:632	SX-m:	 hm 
POmtg546:633	S9:	 hh because that would have 
POmtg546:634	SX-m:	 mhm 
POmtg546:635	S9:	 er meant duplication with the xx of the first working group hh so on the basis of what was meant was this was an attempt to lay down some basic 
POmtg546:636	SX-m:	 yah 
POmtg546:637	S9:	 ground rules for quality assurance within higher education institutions the erm working group has erm er taken this on and has produced ten standards i should say that before mentioning the standards hh that erm hh er the original xx asked for standards procedures and guidelines and the working group's decided to omit the procedures hh because procedures er tell people how to do things and telling institutions how to go about their business is in the view of the working group wrong it i- it infringes their autonomy what one can do however is to establish standards or principles hh and then guidelines on how on on what those principles mean and that's what has what has happened hh the second thing to say is that the standards have to be applicable to all higher education institutions irrespective of their structure function size and the national system in which they are located and to that extent we do have to x one size fits all hh which means it's of necessity they are generic and not detailed because it's got to be fairly basic stuff 
POmtg546:638	SX-m:	 hm 
POmtg546:639	S6:	
POmtg546:640	S9:	 erm the principles on which we started was erm to be consistent with the principles xx a quote from [place4] hh er consistent with the principle of institutional autonomy the pri- xx primary responsibility for quality assurance in higher education hh lies with each institution itself and this provides the basis for real accountability of the academic system hh within the national quality framework hh so what we tried to do is to create app- an appropriate balance between the creation and development of internal quality cultures on the one hand and the role which external quality assurance may proce- may may play procedures may play in that so it's about internal and external quality assurance and the relationship between them hh the erm er the purposes the specific purposes of the standards and guidelines are threefold first of all to improve the education available to students in higher education institutions in the e h e a secondly to assist a g is in managing and enhancing the quality of their educational activities hh and thereby to justify their institutional autonomy and thirdly to make external quality assurance more transparent and simpler to understand for everybody involved so to that extent it meets one of the expectations and wishes of the hh er recognition community hh and the objectives of the standards and guidelines are to encourage institutional quality cultures which foster vibrant intellectual and educational attainment provide a sort of assistance and guidance to a g is and other relevant agencies in developing their own cultures of quality assurance to inform and raise the expectations of a g i students employers and other stakeholders hh and to contribute to a common frame of reference for the provision of higher education and assurance of quality in the e h e a so those are the objectives and then the actual s- structure of the standards there're three areas the first is about quality assurance within higher education institutions hh secondly about reliability and transparency of quality assurance hh and thirdly about quality assurance and the involvement of students and other stakeholders hh and there were ten standards 
POmtg546:641	SX-m:	 hm 
POmtg546:642	S9:	 and each standard has two or three or four erm guidelines and erm i'll i'll read you one just to give you a sense of what they er what they sound like what one what one sounds like and i'll pick one out hh at random or quite at random 
POmtg546:643	S11:	 @
POmtg546:644	S9:	 erm 
POmtg546:645	SX-f:	 mhm 
POmtg546:646	S4:	 otherwise i can choose for you [S9] 
POmtg546:647	SS:	 @@@@@@@
POmtg546:648	S9:	 yes 
POmtg546:649	S4:	 @@
POmtg546:650	S11:	 @@ xxxx 
POmtg546:651	S9:	 er 
POmtg546:652	S9:	 this is erm this says 
POmtg546:653	SS:	 @@
POmtg546:654	S9:	 for example this is the last standard it is more or less at random 
POmtg546:655	SX:	 @
POmtg546:656	S4:	 @
POmtg546:657	S9:	 erm no one before cos that might be more interesting higher educa- standard nine higher education institutions should produce clear information on the programs which they offer and ensure this information is publicly and actively disseminated hh that's the standard and the guideline says it is important that students have reliable information on which to base decisions on their choice of institutions and academic programs including information about those services which are provided to support that learning and higher education institutions provide and commit themselves to accurate descriptions of the programs which they offer 
POmtg546:658	S1:	 xx xxxx er probably half an hour xxxx xx xx xx in an xx office or something xx 
POmtg546:659	S9:	 and use those descriptions as a basis for the conduct of quality assurance activities so that's just one that's one of the one of the ten standards 
POmtg546:660	S11:	 mhm 
POmtg546:661	S9:	 and it's that level 
POmtg546:662	SX-m:	 hm 
POmtg546:663	S11:	 mhm 
POmtg546:664	S9:	 and that kind of detail that s- set the ten standards er er in its place 
POmtg546:665	SX-m:	 hm 
POmtg546:666	S11:	 okay 
POmtg546:667	S11:	 yah 
POmtg546:668	SX-m:	 hm 
POmtg546:669	S9:	 as you see we see this really s- as a as as it's a stand-alone document but i could be the beginning 
POmtg546:670	S11:	 hm 
POmtg546:671	S9:	 of a more extended developed erm approach to to to this 
POmtg546:672	S11:	 yah 
POmtg546:673	S9:	 hh erm xxxxxx just what what what what we've done 
POmtg546:674	S1:	 yah 
POmtg546:675	SX-11:	 haeh
POmtg546:676	S1:	 top of the iceberg yes 
POmtg546:677	S6:	 @@
POmtg546:678	S1:	 er hh any comment because i suddenly realize that we're beginning to be can we go er s- hh ten minutes or something past three or any transportation problems 
POmtg546:679	SX-m:	 hm 
POmtg546:680	SX-m:	 xxxx 
POmtg546:681	S1:	 [S4] cannot go ten minutes past three 
POmtg546:682	S4:	 yah 
POmtg546:683	S9:	 our our plane is leaving at five 
POmtg546:684	S1:	 okay that'd be plenty of time
POmtg546:685	S11:	 xxxx 
POmtg546:686	S1:	 you have my personal guarantee you'll make it yes 
POmtg546:687	S9:	 oh you checked it
POmtg546:688	SX:	 @
POmtg546:689	S11:	 yes we checked in already 
POmtg546:690	S1:	 yah hh so i suggest we we xx 
POmtg546:691	SX-m:	 no 
POmtg546:692	S1:	 we are we still have an item for the general discussion so i suggest we we we move on speedily to er the [org6] and er the [place4] mandate [S11] we all look expectingly at you 
POmtg546:693	S3:	 @@
POmtg546:694	S11:	 i look very puzzled now yes i realize that @@
POmtg546:695	S1:	 why we can go on to the [org11] network while you concentrate [S11] so couldn't we er [S10] you you jump in here 
POmtg546:696	S10:	 er o- okay so i i i try to say something because in fact er er we are er s- trying to follow the bologna process in the [org11] network and [place4] will be part of it and 
POmtg546:697	S1:	 yah 
POmtg546:698	S10:	 this means that er er xxx in the moment our plans are to prepare a survey as a basis for harmonization or more and more harmonization of activities in europe in the area 
POmtg546:699	S1:	 mhm 
POmtg546:700	S10:	 of accreditation agencies and this survey should prepare the basis for for mutual recognition some parts as i just said so in fact we are following a process which would lead er in future in some four five years in several parts of this region to mutual acceptance mutual recognition of agencies on the basis of defined criteria but at as a first step it must have a clear table it must know er quite well what er each agency is doing how practices on which criteria er erm agencies evaluate hh university what is their scope because erm it's very differentiated hh and dif- the differentiation is er due to historical development on higher education er systems er due to hh er quite er different er developments after er after revolution after er crash of communism hh so now we are xx in a very heterogeneous situation for example hh er the erm at the moment cannot too much speak about a type of meta- accreditation in commas because er we are so heterogeneous with some countries just initiating or thinking about initiate a hh er force that erm accepted approach to evaluation and er other countries which are quite developed in application of such procedures so hh so there are very different levels of of er approaches in different central and eastern european countries so hh our erm trial to help is to start is er more or less transparent information about the compen- contemporary state hh and then trial to disseminate good practice and trial to somehow help to help to er create in the area background for for er some development which would probably lead to a kind of acceptance of practices and criteria er used by different agencies hh at the moment er erm steering committee decided to support initiatives of [org3] so we are er 
POmtg546:701	S1:	 yah 
POmtg546:702	S10:	 supporting er the move to strengthen er criteria for 
POmtg546:703	S1:	 hm 
POmtg546:704	S10:	 membership in [org3] and 
POmtg546:705	S1:	 yah 
POmtg546:706	S10:	 certainly erm in fact er it would be probably a type of of erm understanding the maturity of different countries when they are able to 
POmtg546:707	S1:	 yah 
POmtg546:708	S10:	 become members of [org3] hh and er we will not move in this direction at the moment we wou- would like 
POmtg546:709	S1:	 okay 
POmtg546:710	S10:	 probably in the future hh and then certainly we must discuss the xxx of er our network when all members m- m- might be part of [org3] so 
POmtg546:711	S1:	 yah 
POmtg546:712	S10:	 this is a question of quite a distant future probably 
POmtg546:713	S1:	 yah 
POmtg546:714	S10:	 some countries 
POmtg546:715	S1:	 distant perhaps not er that far distant 
POmtg546:716	S10:	 yah 
POmtg546:717	S1:	 hh well er thank you i think we just take the round now and then the general discussion er er [S4] is easy because the nordic network has no er [place4] aspirations 
POmtg546:718	S10:	 hm 
POmtg546:719	S1:	 er [org1] [org2]s
POmtg546:720	S5:	 hh well er in a way are the positions a bit different for me hh 
POmtg546:721	S1:	 yah 
POmtg546:722	S5:	 others we are as i er already mentioned a sort of end users or active stakeholders in the process and in that way we hh perceive the er 
POmtg546:723	S1:	 mhm 
POmtg546:724	S5:	 er the [place4] mandate hh as one part of the bologna process in er 
POmtg546:725	S1:	 mhm 
POmtg546:726	S5:	 in the framework of a quality stream so that way i would only would only er reiterate what i have already said 
POmtg546:727	S1:	 yah but i've forgotten you sit in the bologna follow-up group [S7] 
POmtg546:728	S7:	 i'm in the follow-up group yah 
POmtg546:729	S1:	 who who i- 
POmtg546:730	S7:	 [S8] is on the follow-up group 
POmtg546:731	S1:	 [S8] is o- yes he is on that as well so you'll have the opportunity there we are not members of the bologna follow-up group we're only invited observers hh 
POmtg546:732	S7:	 yes 
POmtg546:733	S1:	 so you'll have the you'll have the opportunity as we move 
POmtg546:734	S7:	 okay 
POmtg546:735	S1:	 to to comment er on a regular basis as to whether this meets your stakeholder expectations 
POmtg546:736	S7:	 hm 
POmtg546:737	S7:	 hm 
POmtg546:738	S1:	 er but that's interesting because it's perhaps one of the results of the discussions today is to move you in a sense into exactly that er stakeholder position 
POmtg546:739	S7:	 hm 
POmtg546:740	S1:	 that could be another 
POmtg546:741	S7:	 mhm 
POmtg546:742	S1:	 interesting thing to try and 
POmtg546:743	S7:	 yes 
POmtg546:744	S1:	 integrate into the development of our source of this european level 
POmtg546:745	S7:	 mhm 
POmtg546:746	S1:	 er construction of x 
POmtg546:747	S7:	 no in in this sense i found the discussion today very useful 
POmtg546:748	S1:	 yes yes 
POmtg546:749	S7:	 absolutely 
POmtg546:750	S1:	 yah good er [S11] but you are preparing some kind of statement for 
POmtg546:751	S11:	 oh i er was just thinking maybe i er er 
POmtg546:752	S1:	 for for for 
POmtg546:753	S11:	 i stressed my points in the er this morning session and i guess at the end of this year we will see hh er we will have a code of good practice for our members which will be closely will have a close res- resemblance to what er [org3] code of code of good practice will be 
POmtg546:754	SX-m:	 hm 
POmtg546:755	S11:	 hh er there will be a d- the description of the operationalization of the [place10] descriptors hh er there will be an accreditation report template 
POmtg546:756	S1:	 okay
POmtg546:757	S11:	 and that will be the parts that we hh can er 
POmtg546:758	S1:	 yah 
POmtg546:759	S11:	 put forward 
POmtg546:760	S1:	 but because 
POmtg546:761	S11:	 xxxxx 
POmtg546:762	S1:	 yes 
POmtg546:763	S11:	 of course fit 
POmtg546:764	S1:	 because i think we we do have had hh er a fair amount of er of general er discussion of conceptions of interest bec- what i perhaps given the fact already that we're already close to to three o'clock is i mean future contact and cooperation between the organization if we link this 
POmtg546:765	SX-m:	 hm 
POmtg546:766	S1:	 at least for the moment to the 
POmtg546:767	S6:	
POmtg546:768	S1:	 the the [place4] er [place6] process as i hear it all the organizations around this table are going at sometime this autumn to go to the computer and write a text hh f- for the benefit of the ministers 
POmtg546:769	S11:	 yah 
POmtg546:770	S6:	 @@
POmtg546:771	S11:	 yah 
POmtg546:772	S1:	 okay 
POmtg546:773	SX-11:	 hm 
POmtg546:774	S6:	 @@@@
POmtg546:775	S1:	 this 
POmtg546:776	S1:	 is good and i'm sure the ministers will appreciate the notes of er great results 
POmtg546:777	S6:	 @@@
POmtg546:778	S1:	 which they're going to receive 
POmtg546:779	S6:	 @@
POmtg546:780	S1:	 including [org3]'s but what i what i actually suggest is that i think the the the discussions we have had today have been for one thing er for me in several respects very informative er secondly i think actually very constructive hh and opening up er er at least by the great x x forgot who got the great x of inviting [org1] [org2]s to to to to this meeting i think it was you [S6] to whom the glories will go this has been very good xxxx 
POmtg546:781	SS:	 @@@@@
POmtg546:782	S1:	 this er dimension in in the in the discussions hh so my suggestion is that we we meet in late autumn when or at a time when we do have hh sort of hh 
POmtg546:783	SX-m:	 mhm 
POmtg546:784	S1:	 recognizable drafts of what we are going to contribute to [place6] and then actually have a discussion on this basis because it's my 
POmtg546:785	SX-m:	 okay 
POmtg546:786	S1:	 feeling from this meeting that we we might i mean of course we'll have the our own distinct pospi- pos- pos- hh positions reflecting the organizations and hh a- a- a- a- and the interest we have to advance on the behalf er of our individual hh er membership groups but there will also be substantial areas where we could be mutually supportive towards the ministers and to that extent with hh that is possible it could be er er strengthening for us all i think if we we we try to look into the text and the arguments and er hh i mean again no this should not be a harmonization operation but exactly as i am saying if there are elements where we can see that we could actually be supportive of each other or each of us use to hh boast x our individual arguments our knowledge that others are going to say more or less the same in that direction to the ministers all points where we say well we are going to be very lonely with this so perhaps we should save it for another great day 
POmtg546:787	S3:	 @@
POmtg546:788	S1:	 that's another x opportunity so so that would be my suggestion t- to you that i have two suggestions for you one is that we do have such a meeting as this once a year hh i mean that's the sort of basic 
POmtg546:789	SX-m:	 hm 
POmtg546:790	S1:	 idea we meet once a year on a rotating basis shifting hosting hh and discuss issues of general interest as er hh we and the world develop and secondly that we have a specific ad hoc meeting in i guess it would be late november but i would like a late november x we will have our job 
POmtg546:791	S9:	 it might be even later than that x it might be at the beginning of next year 
POmtg546:792	S1:	 we may begin in january i've forgotten the deadlines you [S8] and [S7] what are the deadlines can you remember for from the bologna follow-up group 
POmtg546:793	S11:	 @@
POmtg546:794	S11:	 good lord 
POmtg546:795	S1:	 we have set up something in terms of when do they receive various things 
POmtg546:796	S8:	 er 
POmtg546:797	S7:	 hm 
POmtg546:798	S8:	 perhaps not the deadlines but i would like to to remind you or to inform you that there is a hh recognition seminar in in er [place9] 
POmtg546:799	S1:	 yes 
POmtg546:800	S8:	 er bologna official rec- seminar on recognition in [place9] hh er in december that's the first weekend of december is it second and third 
POmtg546:801	S7:	 second third 
POmtg546:802	S8:	 second third 
POmtg546:803	SX-6:	 mhm hm 
POmtg546:804	S8:	 of december so we would hh of course invite hh the input hh from the quality agency's side so that's 
POmtg546:805	S1:	 but that was a possibility that we had a meeting in [place9] linked to that because 
POmtg546:806	S6:	 yes 
POmtg546:807	SX-m:	 hm 
POmtg546:808	S6:	 i mean 
POmtg546:809	S1:	 but it could be xx i see [S6] shows me now the deadline at least as we understand it it's 
POmtg546:810	S8:	 oh wow 
POmtg546:811	S1:	 it's fiftee- fifteenth january for contributions to the bologna follow-up group 
POmtg546:812	SX-7:	 hm 
POmtg546:813	SX-7:	 hm 
POmtg546:814	S1:	 but on the other hand if we meet tenth january and realize that we have 
POmtg546:815	SX-m:	 hm 
POmtg546:816	S1:	 great inspiration to redraft our basic writings we'll have 
POmtg546:817	SX-m:	 xx 
POmtg546:818	SX-m:	 hm 
POmtg546:819	S1:	 fairly short time to do it in huh
POmtg546:820	S8:	 it's too late 
POmtg546:821	SX-m:	 hm 
POmtg546:822	S1:	 so so that would mean december 
POmtg546:823	S8:	 it's too late 
POmtg546:824	S1:	 but if that's unrealistic for the other partners here 
POmtg546:825	S8:	 well 
POmtg546:826	S6:	 hh i i think that the er hh [org3] in terms of the [org3] final report i think we we will be able to delay the its submission until the end of february 
POmtg546:827	S1:	 you think so
POmtg546:828	S6:	 yah 
POmtg546:829	S1:	 okay
POmtg546:830	S6:	 but that the working group should be er 
POmtg546:831	S1:	 no okay 
POmtg546:832	S6:	 yah 
POmtg546:833	S4:	 i i don't er 
POmtg546:834	S8:	 no 
POmtg546:835	S6:	 right
POmtg546:836	S4:	 because taking into consideration the whole process of er about preparing the a document for the european framework for qualifications hh i do- qu- i qui- don't quite understand the dates because erm hh conference in [place8] will be 
POmtg546:837	S10:	 er in january 
POmtg546:838	S4:	 er is it twelfth thirteenth january 
POmtg546:839	S7:	 something like that yah 
POmtg546:840	S4:	 of course the document will be ready by then but i've always understood that 
POmtg546:841	SX-m:	 hh no 
POmtg546:842	S4:	 there'll be a statement from the x er [place8] conference as well that has to feed in so i think perhaps 
POmtg546:843	SX-m:	 xx x 
POmtg546:844	S4:	 fifteenth is very 
POmtg546:845	S6:	 hh yeah 
POmtg546:846	S4:	 isn't that early do you remember that er xxx 
POmtg546:847	S8:	 er 
POmtg546:848	S6:	 yah 
POmtg546:849	S7:	 th- th- there's another consideration which is that the follow-up group meets on the first and second of march and again i think on the twelfth and thirteenth of april 
POmtg546:850	S8:	 yah 
POmtg546:851	S7:	 two thousand and five hh and those two meetings are really the ones that will fine-tune the draft communiqué for [place6] plus advise the ministers on the different components xx components hh which means that the fo- the follow-up group has to have everything in due time before the first meeting i think that certainly means the end of january 
POmtg546:852	S4:	 yes
POmtg546:853	S7:	 at the very latest but it it has to be checked to the bologna secretary 
POmtg546:854	SX-m:	 hm 
POmtg546:855	SX-m:	 xx 
POmtg546:856	SX-m:	 yah 
POmtg546:857	S8:	 er two answers @@ one is that er i remember [last name1] being very optimistic so he wanted to have all possible input at the [place8] seminar hh er 
POmtg546:858	S4:	 but [last name1] is very optimistic by nature so yeah 
POmtg546:859	S8:	 yes he is but but so it's 
POmtg546:860	S3:	 @@
POmtg546:861	S8:	 hh er i understand that he sees [place8] seminar not as er presenting of what has been done and discussing something more or less ready but 
POmtg546:862	SS:	 @@@@@
POmtg546:863	S3:	 xxxxxxx @
POmtg546:864	S8:	 hh still collecting input i don't know if if that will wo- wo- work out that way hh er another thing is that that [last name1]'s notice that there is a seminar in [place9] on recognition in december and asked me if if the er framework group could meet one day before so that might overlap with what you just suggested 
POmtg546:865	S1:	 okay 
POmtg546:866	SX-m:	 xx 
POmtg546:867	S4:	 xxxxx xxxxxx 
POmtg546:868	S1:	 i think we are a 
POmtg546:869	S4:	 so we'll have to set up a xxxxxx @@@@@
POmtg546:870	S8:	 oh pf well 
POmtg546:871	S1:	 but we may i mean this discussion actually leads us to try and set up something in in in early january er and that would be in a sense fair enough huh and then we'll be sure that 
POmtg546:872	S7:	 good 
POmtg546:873	S1:	 there will be documents to circulate 
POmtg546:874	S3:	 @@@@
POmtg546:875	S1:	 what's the problem
POmtg546:876	S7:	 no hh er january is very tight in terms of er 
POmtg546:877	S1:	 is it
POmtg546:878	S7:	 hh 
POmtg546:879	S1:	 but december huh
POmtg546:880	S7:	 it has to be early really early january 
POmtg546:881	S1:	 yah 
POmtg546:882	S8:	 er in [place9] there is more than one meeting room my problem is only that i cannot be in in two rooms and @ [S4] might have the same problem 
POmtg546:883	SS:	 @@@@
POmtg546:884	SS:	 @
POmtg546:885	S7:	 i will also 
POmtg546:886	S8:	 yes and [S7] 
POmtg546:887	S1:	 but i hh 
POmtg546:888	S8:	 xx 
POmtg546:889	S1:	 i think [S6] we we we'll do some further speculating 
POmtg546:890	S6:	 okay 
POmtg546:891	S1:	 er on this and then circulate a minute from the meeting and hh our suggestions for some dates which will then of course have to be 
POmtg546:892	S9:	 ca- ca- 
POmtg546:893	S9:	 xx can we just er x can we just confirm that by sometime after the first week in after th- end of november beginning of december 
POmtg546:894	S1:	 yah 
POmtg546:895	S9:	 hh all the organizations who are in this group are likely to have a draft text that they would be willing to share with this group 
POmtg546:896	S1:	 yah 
POmtg546:897	S1:	 mhm 
POmtg546:898	S1:	 yah 
POmtg546:899	S9:	 hh er so that we can s- as [S1] says xxxxx 
POmtg546:900	S1:	 mhm 
POmtg546:901	SX-m:	 yah 
POmtg546:902	S9:	 the the x points of agreement x points of xxxxx 
POmtg546:903	S1:	 absolutely 
POmtg546:904	SX-6:	 mhm 
POmtg546:905	SX-m:	 yah 
POmtg546:906	SX-m:	 xx 
POmtg546:907	S9:	 is that likely to xx cos there's no point having a meeting unless we got these texts 
POmtg546:908	S1:	 hm 
POmtg546:909	S1:	 yes exactly 
POmtg546:910	SX-11:	 yah 
POmtg546:911	SX-m:	 mhm 
POmtg546:912	SX-m:	 well 
POmtg546:913	S7:	 yah well a- again for the [org1] and [org2] networks that 
POmtg546:914	S1:	 [S7] 
POmtg546:915	S7:	 the draft text is before you and we'll have it on the eighth of june essentially the the the s- statement from xx because that that is our latest meeting before the er [place6] conference xx 
POmtg546:916	S9:	 xxxxxx 
POmtg546:917	S9:	 fine okay okay xx 
POmtg546:918	S1:	 okay 
POmtg546:919	S9:	 okay but it xxx th- the the if you're having a meeting on second and third december 
POmtg546:920	S7:	 yah 
POmtg546:921	S9:	 it'll be worthwhile having 
POmtg546:922	SX-m:	 hm 
POmtg546:923	S9:	 this meeting after sometime after that 
POmtg546:924	S1:	 yah 
POmtg546:925	S1:	 yah 
POmtg546:926	SX-m:	 hm 
POmtg546:927	S7:	 but er well the conference on the second and third is the bologna conference on recognition issues that's not a network meeting 
POmtg546:928	S9:	 that's not going to 
POmtg546:929	S9:	 okay okay 
POmtg546:930	S7:	 hm 
POmtg546:931	S9:	 great hh so o- er okay so that that's all right so any time from december onwards 
POmtg546:932	SX-m:	 hm 
POmtg546:933	S1:	 yah 
POmtg546:934	S11:	 yah 
POmtg546:935	S9:	 up to the last date which i guess it was by the end of the first week of january 
POmtg546:936	S1:	 yah yah 
POmtg546:937	S9:	 it's kind of a revision 
POmtg546:938	S1:	 yah 
POmtg546:939	SX-m:	 hm 
POmtg546:940	S1:	 okay so er any other comments on 
POmtg546:941	SX-m:	 x 
POmtg546:942	S11:	 sorry [S1] did you er conclude that there were f- there will be four different papers to the ministerial co- to the minister conference 
POmtg546:943	S1:	 hh i think that 
POmtg546:944	S11:	 we would we would 
POmtg546:945	SX-m:	 xxx 
POmtg546:946	S11:	 strongly erm er we would strongly be in favor of one paper by [org3] with attendance xxx 
POmtg546:947	S1:	 okay but that's that's fair enough but then i'm sure 
POmtg546:948	S6:	 mhm 
POmtg546:949	SX-m:	 xxxxx 
POmtg546:950	S1:	 you will we'll have we will have discussions i still think it would be fair to have a meeting in this group 
POmtg546:951	SX-m:	 hm 
POmtg546:952	S11:	 okay yah 
POmtg546:953	S1:	 n- no no matter whether we have one paper which covers europe perhaps even the central and eastern european hh still i mean this 
POmtg546:954	S11:	 yah 
POmtg546:955	SX-m:	 hm 
POmtg546:956	S11:	 yah 
POmtg546:957	SX-m:	 hm 
POmtg546:958	S11:	 x xx x strong opposition i would say 
POmtg546:959	S1:	 this is representative in a sense and er le- let's have that kind of discussion i guess the [org1] [org2]s are interested as well and er 
POmtg546:960	SX-m:	 xx 
POmtg546:961	S1:	 i- it is obvious x that 
POmtg546:962	SX-m:	 hm 
POmtg546:963	S1:	 it could be one of the major 
POmtg546:964	SX-m:	 hm 
POmtg546:965	SX-m:	 xx 
POmtg546:966	S1:	 outcomes that we make visible to the ministers more than perhaps it is actually in their minds of the xx the
POmtg546:967	S4:	 yah 
POmtg546:968	S1:	 synergy effect between quality assurance and er recognition so that's a great shared cause well then sur- s- surprise surprise i succeeded after all 
POmtg546:969	S3:	 @@
POmtg546:970	S1:	 because we have only then the item any other business 
POmtg546:971	S3:	 @@
POmtg546:972	S1:	 of which i guess there is little er so we decided to have an annual meeting yes
POmtg546:973	S6:	 hh 
POmtg546:974	S1:	 [S6] 
POmtg546:975	SS:	 @@@@
POmtg546:976	S6:	 just one any other business xx er next week the [org3] general assembly hh er 
POmtg546:977	S1:	 yeah
POmtg546:978	S6:	 hh there's a slot on the agenda 
POmtg546:979	S1:	 oh yes 
POmtg546:980	S6:	 where the er we would like the other european quality assurance networks hh to make a short summary of the recent activities for instance vis-à-vis 
POmtg546:981	SX-m:	 mhm 
POmtg546:982	S6:	 [place6] 
POmtg546:983	SX-11:	 okay 
POmtg546:984	SX-m:	 mhm 
POmtg546:985	S6:	 hh so xxx we would like to ask whether er the [org6] and the [org11] network and [org12] 
POmtg546:986	SX-m:	 hm 
POmtg546:987	S6:	 would be able to er hh give us a a short presentation of the activities to the er audience
POmtg546:988	SX-m:	 but 
POmtg546:989	S1:	 short is short yes 
POmtg546:990	S11:	 yah 
POmtg546:991	S6:	 hh er that's on the third 
POmtg546:992	S1:	 yah 
POmtg546:993	S6:	 on the afternoon of the third 
POmtg546:994	S4:	 sure 
POmtg546:995	S1:	 yes
POmtg546:996	S4:	 no problem 
POmtg546:997	S1:	 okay but erm hh as i said we we meet next year anyhow in er in may or june as that's a good time for this kind of meetings and we have er s- december or first week of january a ad hoc meeting on er [place6] to plot into our schedules er as soon as we are finished we are going to n- make not very elaborate minutes but sort of er high- highlights er @@ mi- 
POmtg546:998	S11:	 yah 
POmtg546:999	S6:	 busy times huh
POmtg546:1000	S1:	 er minutes from er from this meeting
POmtg546:1001	S11:	 yah 
POmtg546:1002	S1:	 so i thank you all for a 
POmtg546:1003	SX-m:	 hm 
POmtg546:1004	S1:	 yes
POmtg546:1005	S2:	 may i just say something as well
POmtg546:1006	SX-3:	 @
POmtg546:1007	S1:	 yeah 
POmtg546:1008	S2:	 i'd like to thank you all for somehow ignoring my microphones and providing me with good data 
POmtg546:1009	SS:	 @@@@@@@@@
POmtg546:1010	S1:	 yah 
POmtg546:1011	S2:	 i will of course be very happy to forward my results as soon as i'm there
POmtg546:1012	SX-m:	 @@@
POmtg546:1013	S1:	 yah 
POmtg546:1014	S2:	 thank you 
POmtg546:1015	S4:	 we would appreciate that yeah 
POmtg546:1016	S1:	 yah 
POmtg546:1017	SS:	 yah 
POmtg546:1018	S1:	 and you've promised not to individually grade the the participants in the discussion of 
POmtg546:1019	SS:	 @@@@@@
POmtg546:1020	S4:	 xxxx 
POmtg546:1021	S1:	 @
POmtg546:1022	SS:	 @@@@@@@@@@@
POmtg546:1023	SX-f:	 general remarks 
POmtg546:1024	S2:	 don't worry @@@
POmtg546:1025	S1:	 okay 
POmtg546:1026	S2:	 @
POmtg546:1027	S1:	 thank you 
POmtg546:1028	SX-11:	 and thank you for this initiative 
POmtg546:1029	S1:	 yes thank you for coming to copenhagen 
POmtg546:1030	SX-5:	 yes thank you xx it has been very useful 
POmtg546:1031	SX-f:	 thank you very much 
POmtg546:1032	S1:	 yah 
